timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1753456500,Jul 25 2025 - 3:15pm,complete,650,Yantra 2019,OFK Pirin,Todor Nedyalkov Kirov,1,0.00,0.00,1.88,0.94,1,1,2,1,1,0,"22","75",3,5,0,0,0,0,0,0,0,0,5,10,1,1,4,9,13,10,41,59,0.00,0.00,0.84,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.45,4.60,1.46,2.50,4.80,11.00,2.20,1.48,N/A
1753543800,Jul 26 2025 - 3:30pm,complete,600,Marek,Ludogorets II,Georgi Stoyanov,1,0.00,0.00,1.63,0.81,1,0,1,0,0,0,"57","",3,7,0,0,0,0,0,0,0,0,11,8,2,2,9,6,18,9,50,50,0.00,0.00,1.23,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.25,3.95,1.32,2.05,5.50,8.50,2.32,1.70,Stadion Bonchuk
1753543800,Jul 26 2025 - 3:30pm,complete,170,Sportist Svoge,Etar,Dimo Dimov,1,0.00,0.00,1.31,1.06,1,1,2,0,0,0,"50","81",1,5,-1,-1,-1,-1,-1,-1,-1,-1,8,9,4,5,4,4,-1,-1,43,57,0.00,0.00,0.99,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,2.70,3.10,1.57,3.00,5.30,10.00,2.25,1.48,Gradski Stadion
1753543800,Jul 26 2025 - 3:30pm,complete,200,Fratria,Chernomorets 1919 Burgas,Dimitar Burov,1,0.00,0.00,2.25,1.06,2,1,3,2,2,0,"3,13","90'4",3,6,0,0,0,0,0,0,0,0,5,14,4,3,1,11,19,10,38,62,0.00,0.00,0.81,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.00,4.40,1.37,2.47,3.80,8.00,1.87,1.77,N/A
1753543800,Jul 26 2025 - 3:30pm,complete,N/A,Sevlievo,Hebar 1918,Gero Piskov,1,0.00,0.00,0.88,1.38,0,2,2,0,0,0,"","90'5,67",4,4,-1,-1,-1,-1,-1,-1,-1,-1,3,13,0,4,3,9,-1,-1,50,50,0.00,0.00,0.39,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,2.85,2.25,1.48,2.62,0.00,0.00,2.25,1.57,N/A
1753543800,Jul 26 2025 - 3:30pm,canceled,N/A,Levski Krumovgrad,Dunav 2010,N/A,1,0.00,0.00,0.00,2.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1753549200,Jul 26 2025 - 5:00pm,complete,N/A,Lokomotiv G. Oryahovitsa,Vihren Sandanski,N/A,1,0.00,0.00,1.13,1.31,1,2,3,2,0,2,"88","15,14",7,0,0,0,0,0,0,0,0,0,10,3,3,3,7,0,21,21,57,43,0.00,0.00,1.26,0.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.74,3.04,5.05,1.47,2.62,0.00,0.00,2.00,1.73,N/A
1753630200,Jul 27 2025 - 3:30pm,complete,100,Spartak Pleven,CSKA Sofia II,Stilyan Kolev,1,0.00,0.00,1.44,1.38,2,1,3,1,1,0,"12,70","58",4,4,0,0,0,0,0,0,0,0,14,9,7,4,7,5,13,17,51,49,0.00,0.00,1.62,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,2.95,2.28,1.48,2.50,4.40,9.50,2.05,1.75,Pleven Stadium
1753803000,Jul 29 2025 - 3:30pm,complete,N/A,FK Minyor Pernik,Belasitsa,Ivaylo Nenkov,1,0.00,0.00,0.94,0.38,1,1,2,1,0,1,"90","34",6,7,0,0,0,0,0,0,0,0,16,5,9,4,7,1,10,10,58,42,0.00,0.00,1.97,0.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1754146800,Aug 02 2025 - 3:00pm,complete,100,Chernomorets 1919 Burgas,Yantra 2019,Ivan Stefanov Ivanov,2,0.00,0.00,1.81,2.13,1,1,2,1,1,0,"17","68",4,3,-1,-1,-1,-1,-1,-1,-1,-1,7,11,5,5,2,6,-1,-1,48,52,0.00,0.00,1.02,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,2.95,3.95,1.50,2.42,5.00,8.50,2.00,1.56,N/A
