team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
OFK Pirin Blagoevgrad,OFK Pirin,2025/2026,Bulgaria,32,16,16,0,9,5,4,11,8,3,12,3,9,1.19,1.44,0.94,11,11,10,11,38,41,-3,79,29,50,16,22,13,28,3,-6,76,90,65,70,111,51,10,7,3,17,7,10,11,6,5,16,9,7,159,94,65,0,0,0,52,53,51,318,170,148,206,109,97,112,61,51,232,117,115,19,9,10,17,1,16,2,8,-6,11,7,4,14,9,5,7,0,7,1.47,1.88,1.06,2.47,1.81,3.13,1.19,1,1.38,1.28,0.81,1.75,1.13,0.63,1.63,0.59,0.56,0.63,0.53,0.06,1,26,21,16,9,4,2,12,7,5,4,1,0,14,14,11,5,3,2,6,11,16,23,28,30,4,9,11,12,15,16,2,2,5,11,13,14,81,66,50,28,13,6,75,44,31,25,6,0,88,88,69,31,19,13,19,34,50,72,87,94,25,56,69,75,94,100,12,12,31,69,81,87,21,9,5,8,2,0,13,7,5,66,28,16,50,13,0,81,44,31,28,31,25,11,31,44,19,53,44,63,34,38,31,50,56,44,21,15,6,66,94,38,15,8,7,47,50,44,7,1,6,22,6,38,34,44,25,44,56,31,22,0,44,4.97,5.88,4.06,0,0,0.00,78,63,50,41,34,28,19,13,1.36,1.47,1.24,1.38,1.10,1.65,63,5,5,4,3,5,4,3,5,4,4,2,6,2,5,2,5,4,11,34,50,19,38,19,56,6
FK Etar Veliko Târnovo,Etar,2025/2026,Bulgaria,32,16,16,0,11,7,4,11,6,5,10,3,7,1.38,1.69,1.06,7,8,9,7,39,43,-4,82,43,39,26,13,17,26,9,-13,74,55,111,67,85,55,10,6,4,13,7,6,13,6,7,12,7,5,178,101,77,0,0,0,56,59,53,388,226,162,221,134,87,167,92,75,214,109,105,14,10,4,21,8,13,-7,2,-9,7,5,2,14,8,6,11,3,8,1.09,1.44,0.75,2.56,2.69,2.44,1.22,1.63,0.81,1.34,1.06,1.63,1.09,1.13,1.06,0.44,0.63,0.25,0.66,0.5,0.81,28,21,14,10,6,3,13,10,9,5,4,2,15,11,5,5,2,1,4,11,18,22,26,29,3,6,7,11,12,14,1,5,11,11,14,15,88,66,44,31,19,9,81,63,56,31,25,13,94,69,31,31,13,6,12,34,56,69,81,91,19,37,44,69,75,87,6,31,69,69,87,94,20,11,4,10,5,3,10,6,1,63,34,13,63,31,19,63,38,6,34,44,25,28,31,38,25,41,44,38,41,38,44,38,44,31,16,8,8,50,50,50,22,9,13,69,56,81,6,5,1,19,31,6,22,31,13,44,50,38,34,19,50,5.56,6.31,4.81,0,0,0.00,84,75,59,53,38,22,13,9,1.61,1.81,1.39,1.37,1.16,1.59,56,0,5,5,1,7,7,5,4,5,5,2,5,4,7,8,3,6,3,34,38,31,31,19,44,3
Dunav 2010 Ruse,Dunav 2010,2025/2026,Bulgaria,32,16,16,0,20,11,9,9,4,5,3,1,2,2.16,2.31,2,1,1,2,1,53,16,37,69,32,37,28,25,4,12,24,13,54,51,58,180,360,120,20,13,7,10,2,8,7,4,3,23,12,11,121,76,45,0,0,0,50,52,47,353,191,162,196,110,86,157,81,76,242,106,136,25,14,11,5,1,4,20,13,7,17,9,8,12,6,6,3,1,2,1.97,2.06,1.88,2.16,2,2.31,1.66,1.75,1.56,0.5,0.25,0.75,0.94,0.94,0.94,0.78,0.88,0.69,0.16,0.06,0.25,27,22,12,7,1,0,13,11,5,3,0,0,14,11,7,4,1,0,5,10,20,25,31,32,3,5,11,13,16,16,2,5,9,12,15,16,84,69,38,22,3,0,81,69,31,19,0,0,88,69,44,25,6,0,16,31,62,78,97,100,19,31,69,81,100,100,12,31,56,75,94,100,21,7,2,10,4,1,11,3,1,66,22,6,63,25,6,69,19,6,63,69,56,28,63,81,44,31,13,50,22,25,19,72,75,69,27,15,12,84,94,75,14,7,7,44,44,44,2,0,2,6,0,13,53,56,50,38,38,38,9,6,13,3.90,4.75,3.00,0,0,0.00,71,48,35,23,13,6,6,0,1.44,1.52,1.36,1.02,0.70,1.37,41,8,6,4,3,7,4,6,2,13,2,2,0,1,1,0,1,4,5,28,25,31,9,6,13,0
FK Lokomotiv Gorna Oryahovitsa,Lokomotiv G. Oryahovitsa,2025/2026,Bulgaria,32,16,16,0,8,5,3,9,3,6,15,8,7,1.03,1.13,0.94,14,13,13,14,34,52,-18,86,35,51,16,18,19,33,-3,-15,85,90,80,55,76,44,6,3,3,18,8,10,10,6,4,11,6,5,142,75,67,0,0,0,48,50,47,313,157,156,175,95,80,138,62,76,211,123,88,15,9,6,31,10,21,-16,-1,-15,6,4,2,11,7,4,14,5,9,0.94,1.19,0.67,2.69,2.19,3.19,1.06,1,1.13,1.63,1.19,2.06,1.48,1.19,1.8,0.48,0.56,0.4,1,0.63,1.4,30,22,18,9,3,3,15,9,8,3,0,0,15,13,10,6,3,3,2,10,14,23,29,29,1,7,8,13,16,16,1,3,6,10,13,13,94,69,56,28,9,9,94,56,50,19,0,0,94,81,63,38,19,19,6,31,44,72,91,91,6,44,50,81,100,100,6,19,37,62,81,81,24,12,5,12,5,1,12,7,4,77,39,16,75,31,6,80,47,27,25,31,19,11,19,19,19,56,50,63,31,38,25,34,38,31,13,8,5,42,50,33,19,9,10,61,56,67,6,3,3,19,19,20,19,25,13,35,44,27,45,31,60,4.44,4.69,4.19,0,0,0.00,84,72,53,44,31,25,13,6,1.33,1.32,1.34,1.55,1.25,1.81,72,3,3,1,5,3,2,2,6,6,7,7,4,6,7,4,3,6,7,28,19,38,47,50,44,3
FK Marek 1915 Dupnitsa,Marek,2025/2026,Bulgaria,32,16,16,0,10,7,3,11,5,6,11,4,7,1.28,1.63,0.94,9,9,12,9,27,35,-8,62,32,30,19,8,13,22,6,-14,107,76,180,83,111,65,13,7,6,13,8,5,11,3,8,11,7,4,151,78,73,0,0,0,50,53,47,324,212,112,179,107,72,145,105,40,258,137,121,13,8,5,18,6,12,-5,2,-7,8,4,4,14,9,5,10,3,7,1.19,1.31,1.06,1.94,2,1.88,0.84,1.19,0.5,1.09,0.81,1.38,0.97,0.88,1.06,0.41,0.5,0.31,0.56,0.38,0.75,27,19,10,5,1,0,14,10,6,2,0,0,13,9,4,3,1,0,5,13,22,27,31,32,2,6,10,14,16,16,3,7,12,13,15,16,84,59,31,16,3,0,88,63,38,13,0,0,81,56,25,19,6,0,16,41,69,84,97,100,12,37,62,87,100,100,19,44,75,81,94,100,21,7,2,10,4,0,11,3,2,66,22,6,63,25,0,69,19,13,31,44,19,34,41,44,38,41,50,31,34,19,50,34,44,25,19,10,9,59,63,56,20,9,11,63,56,69,4,3,1,13,19,6,25,25,25,44,56,31,31,19,44,4.72,4.88,4.56,0,0,0.00,78,63,53,38,31,25,13,3,1.48,1.78,1.13,1.53,1.27,1.83,50,3,3,3,1,4,3,2,3,5,6,1,4,7,2,4,4,1,6,34,31,38,34,25,44,3
PFC Ludogorets 1945 Razgrad II,Ludogorets II,2025/2026,Bulgaria,32,16,16,0,11,8,3,8,4,4,13,4,9,1.28,1.75,0.81,8,7,14,8,41,43,-2,84,55,29,33,8,22,21,11,-13,70,44,180,67,65,69,6,1,5,17,13,4,12,2,10,13,8,5,142,83,59,0,0,0,49,53,46,380,234,146,190,131,59,190,103,87,223,106,117,21,17,4,21,13,8,0,4,-4,6,5,1,18,7,11,8,4,4,1.13,1.38,0.88,2.63,3.44,1.81,1.28,2.06,0.5,1.34,1.38,1.31,1.31,1.88,0.75,0.66,1.06,0.25,0.66,0.81,0.5,29,22,16,11,4,2,16,14,11,9,3,2,13,8,5,2,1,0,3,10,16,21,28,30,0,2,5,7,13,14,3,8,11,14,15,16,91,69,50,34,13,6,100,88,69,56,19,13,81,50,31,13,6,0,9,31,50,66,87,94,0,12,31,44,81,87,19,50,69,87,94,100,21,16,4,15,11,3,6,5,1,66,50,13,94,69,19,38,31,6,34,50,19,29,19,6,31,53,81,25,38,13,63,41,50,31,15,4,11,47,25,69,17,4,13,53,25,81,11,9,2,34,56,13,19,31,6,56,44,69,25,25,25,4.44,5.19,3.69,0,0,0.00,78,75,44,34,28,25,16,9,1.48,1.80,1.14,1.42,1.28,1.57,78,4,1,8,6,2,2,6,5,7,5,6,4,1,7,8,5,4,3,25,25,25,41,25,56,6
PFC CSKA Sofia II,CSKA Sofia II,2025/2026,Bulgaria,32,16,16,0,16,10,6,7,3,4,9,3,6,1.72,2.06,1.38,5,4,4,5,57,32,25,89,40,49,32,25,8,24,24,1,51,45,58,90,180,60,12,8,4,15,5,10,7,4,3,19,10,9,145,90,55,0,0,0,52,54,50,399,210,189,222,123,99,177,87,90,267,139,128,28,13,15,19,6,13,9,7,2,14,7,7,11,6,5,7,3,4,1.66,1.69,1.63,2.78,2.5,3.06,1.78,2,1.56,1,0.5,1.5,1.47,1.19,1.75,0.88,0.81,0.94,0.59,0.38,0.81,30,24,16,8,5,3,15,10,5,4,3,2,15,14,11,4,2,1,2,8,16,24,27,29,1,6,11,12,13,14,1,2,5,12,14,15,94,75,50,25,16,9,94,63,31,25,19,13,94,88,69,25,13,6,6,25,50,75,84,91,6,37,69,75,81,87,6,12,31,75,87,94,26,12,6,12,5,2,14,7,4,81,38,19,75,31,13,88,44,25,50,63,38,31,38,50,25,47,31,63,22,25,19,59,63,56,17,10,7,53,63,44,12,7,5,38,44,31,9,3,6,28,19,38,44,44,44,34,38,31,22,19,25,4.53,5.63,3.44,0,0,0.00,72,59,44,38,34,25,13,13,1.65,1.83,1.48,1.26,1.02,1.50,88,5,3,8,9,6,4,8,5,9,1,10,2,4,3,2,3,5,2,22,19,25,28,19,38,9
OFK Spartak Pleven,Spartak Pleven,2025/2026,Bulgaria,32,16,16,0,9,7,2,8,2,6,15,7,8,1.09,1.44,0.75,12,10,16,12,37,45,-8,82,48,34,26,11,22,23,4,-12,78,55,130,64,65,63,10,5,5,15,9,6,11,3,8,15,10,5,104,63,41,0,0,0,45,47,44,289,160,129,144,85,59,145,75,70,218,112,106,20,15,5,21,10,11,-1,5,-6,8,6,2,13,6,7,11,4,7,1.16,1.5,0.81,2.56,3,2.13,1.16,1.63,0.69,1.41,1.38,1.44,1.28,1.56,1,0.63,0.94,0.31,0.66,0.63,0.69,28,24,15,8,3,2,15,13,9,4,3,2,13,11,6,4,0,0,4,8,17,24,29,30,1,3,7,12,13,14,3,5,10,12,16,16,88,75,47,25,9,6,94,81,56,25,19,13,81,69,38,25,0,0,12,25,53,75,91,94,6,19,44,75,81,87,19,31,62,75,100,100,25,12,2,13,8,2,12,4,0,78,38,6,81,50,13,75,25,0,28,44,13,22,31,31,31,47,56,38,34,19,50,47,63,31,14,8,6,44,50,38,17,6,11,53,38,69,8,5,3,25,31,19,25,38,13,41,38,44,34,25,44,3.25,3.94,2.56,0,0,0.00,94,75,50,41,25,16,16,9,1.22,1.33,1.12,1.59,1.40,1.78,75,6,4,4,4,4,5,6,2,2,6,6,5,3,2,3,6,5,9,25,13,38,47,44,50,3
Belasitsa,Belasitsa,2025/2026,Bulgaria,32,16,16,0,4,3,1,7,4,3,21,9,12,0.59,0.81,0.38,17,17,17,17,26,62,-36,88,44,44,15,11,29,33,-14,-22,111,96,130,46,50,44,6,4,2,14,6,8,14,7,7,10,5,5,141,92,49,0,0,0,46,50,42,275,156,119,150,89,61,125,67,58,204,74,130,12,5,7,28,17,11,-16,-12,-4,2,0,2,16,7,9,14,9,5,0.69,0.44,0.94,2.75,2.75,2.75,0.81,0.94,0.69,1.94,1.81,2.06,1.25,1.38,1.13,0.38,0.31,0.44,0.88,1.06,0.69,30,23,16,7,5,4,15,11,7,3,3,3,15,12,9,4,2,1,2,9,16,25,27,28,1,5,9,13,13,13,1,4,7,12,14,15,94,72,50,22,16,13,94,69,44,19,19,19,94,75,56,25,13,6,6,28,50,78,84,87,6,31,56,81,81,81,6,25,44,75,87,94,22,11,3,11,6,2,11,5,1,69,34,9,69,38,13,69,31,6,13,19,6,12,19,25,13,44,38,50,44,44,44,31,31,31,12,5,7,38,31,44,23,13,10,72,81,63,7,3,4,22,19,25,6,0,13,50,44,56,44,56,31,4.41,5.75,3.06,0,0,0.00,94,88,72,56,50,31,22,13,1.11,1.42,0.86,1.77,1.66,1.86,81,1,5,1,5,2,1,3,2,6,4,6,10,4,12,2,7,9,8,22,25,19,66,56,75,6
Vihren Sandanski,Vihren Sandanski,2025/2026,Bulgaria,32,16,16,0,17,11,6,7,4,3,8,1,7,1.81,2.31,1.31,4,2,6,4,59,34,25,93,48,45,36,23,12,22,24,1,49,40,63,85,120,65,12,7,5,15,8,7,9,4,5,17,9,8,152,94,58,0,0,0,51,55,48,359,237,122,215,152,63,144,85,59,225,104,121,28,16,12,17,7,10,11,9,2,11,7,4,15,7,8,6,2,4,1.5,1.75,1.25,2.91,3,2.81,1.84,2.25,1.44,1.06,0.75,1.38,1.41,1.44,1.38,0.88,1,0.75,0.53,0.44,0.63,28,23,18,13,8,3,13,12,10,7,4,2,15,11,8,6,4,1,4,9,14,19,24,29,3,4,6,9,12,14,1,5,8,10,12,15,88,72,56,41,25,9,81,75,63,44,25,13,94,69,50,38,25,6,12,28,44,59,75,91,19,25,37,56,75,87,6,31,50,62,75,94,22,15,6,11,6,4,11,9,2,69,47,19,69,38,25,69,56,13,53,69,38,26,38,44,31,47,50,44,28,25,31,53,56,50,19,10,9,59,63,56,14,7,7,44,44,44,9,4,5,28,25,31,34,44,25,47,44,50,19,13,25,4.90,6.27,3.63,0,0,0.00,81,68,61,57,35,23,13,6,1.58,2.03,1.13,1.32,1.13,1.51,84,6,6,6,4,7,7,3,11,9,4,1,5,4,3,5,4,2,6,22,25,19,25,6,44,3
