timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1775124000,Apr 02 2026 - 10:00am,complete,N/A,Arys,Jaiyq,N/A,1,0.00,0.00,1.00,1.10,0,1,1,1,0,1,"","30",7,3,-1,-1,-1,-1,-1,-1,-1,-1,10,5,1,2,9,3,-1,-1,57,43,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.50,2.05,1.15,1.44,2.14,3.50,1.41,2.56,N/A
1775124000,Apr 02 2026 - 10:00am,complete,N/A,Khan Tengri,Kaspiy II,N/A,1,0.00,0.00,1.40,0.82,2,2,4,1,0,1,"54,90'2","49,40",4,5,-1,-1,-1,-1,-1,-1,-1,-1,20,12,10,7,10,5,-1,-1,52,48,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1775134800,Apr 02 2026 - 1:00pm,complete,N/A,Turan Turkistan,Akademiya Ontustik,N/A,1,0.00,0.00,2.00,1.70,1,2,3,2,1,1,"7","4,80",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.28,4.00,2.42,0.00,0.00,0.00,0.00,1.55,2.25,N/A
1775142000,Apr 02 2026 - 3:00pm,complete,N/A,Tobol II,Yelimay II,N/A,1,0.00,0.00,0.70,0.50,1,1,2,1,1,0,"33","87",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,4.00,2.45,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1775210400,Apr 03 2026 - 10:00am,complete,N/A,Taraz,Ekibastuz,N/A,1,0.00,0.00,2.00,1.30,3,0,3,0,0,0,"71,79,90","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,4.34,3.83,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1775210400,Apr 03 2026 - 10:00am,complete,N/A,Sport Academy Kairat,Shakhter Karagandy,N/A,1,0.00,0.00,2.45,2.55,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.42,4.44,1.69,0.00,0.00,0.00,0.00,0.00,0.00,Astana Arena
1775217600,Apr 03 2026 - 12:00pm,complete,N/A,Astana II,Aktobe Jas,N/A,1,0.00,0.00,1.90,0.64,2,2,4,1,1,0,"69,3","47,87",2,5,-1,-1,-1,-1,-1,-1,-1,-1,8,12,5,7,3,5,-1,-1,49,51,0.00,0.00,1.20,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.24,4.12,2.31,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1776333600,Apr 16 2026 - 10:00am,complete,N/A,Kaspiy II,Sport Academy Kairat,N/A,2,0.00,0.00,1.78,2.44,1,1,2,0,0,0,"90'1","87",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.03,4.13,1.61,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1776337200,Apr 16 2026 - 11:00am,complete,N/A,Jaiyq,Astana II,N/A,2,0.00,0.00,1.78,0.78,1,0,1,1,1,0,"39","",6,2,-1,-1,-1,-1,-1,-1,-1,-1,3,3,1,0,2,3,-1,-1,44,56,0.00,0.00,0.28,0.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,4.30,2.14,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1776344400,Apr 16 2026 - 1:00pm,complete,N/A,Turan Turkistan,Arys,N/A,2,0.00,0.00,2.00,0.50,1,0,1,0,0,0,"49","",1,2,-1,-1,-1,-1,-1,-1,-1,-1,4,3,1,0,3,3,-1,-1,54,46,0.00,0.00,0.43,0.25,1.50,50,50,50,0,0,50,50,0,50,0.00,0.00,1.57,4.00,4.90,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1776420000,Apr 17 2026 - 10:00am,complete,N/A,Aktobe Jas,Taraz,N/A,2,0.00,0.00,1.44,0.80,1,0,1,0,0,0,"60","",3,9,-1,-1,-1,-1,-1,-1,-1,-1,5,6,2,1,3,5,-1,-1,38,62,0.00,0.00,0.48,0.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.84,5.35,1.29,0.00,1.30,1.80,2.80,1.52,2.33,N/A
1776420000,Apr 17 2026 - 10:00am,complete,N/A,Yelimay II,Khan Tengri,N/A,2,0.00,0.00,0.70,0.70,3,3,6,4,2,2,"5,24,48","18,2,90",3,8,-1,-1,-1,-1,-1,-1,-1,-1,9,12,4,4,5,8,-1,-1,39,61,0.00,0.00,0.90,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.65,1.73,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1776420000,Apr 17 2026 - 10:00am,complete,N/A,Shakhter Karagandy,Ekibastuz,N/A,2,0.00,0.00,3.00,1.30,4,0,4,1,1,0,"35,84,51,62","",7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.50,0,50,50,0,0,0,0,50,50,0.00,0.00,1.24,5.69,7.80,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Shakhter
1776423600,Apr 17 2026 - 11:00am,complete,N/A,Akademiya Ontustik,Tobol II,N/A,2,0.00,0.00,2.00,0.30,3,0,3,1,1,0,"35,80,90","",9,1,-1,-1,-1,-1,-1,-1,-1,-1,11,6,4,1,7,5,-1,-1,54,46,0.00,0.00,1.19,0.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.31,4.99,6.76,0.00,0.00,0.00,0.00,0.00,0.00,Futbol Ortalığı BÏİK Main Field
1776934800,Apr 23 2026 - 9:00am,complete,N/A,Astana II,Akademiya Ontustik,N/A,3,1.00,3.00,1.90,1.70,1,0,1,0,0,0,"50","",8,5,1,0,1,0,0,1,1,0,13,9,4,3,9,6,19,7,63,37,1.20,0.00,1.25,0.89,3.50,100,100,100,50,0,50,100,50,100,2.00,0.00,5.50,4.60,1.43,0.00,1.25,1.70,2.52,1.32,2.92,Astana Arena
1776938400,Apr 23 2026 - 10:00am,complete,N/A,Arys,Shakhter Karagandy,N/A,3,0.00,1.00,1.00,2.55,0,6,6,2,0,2,"","39,46,40,57,66,82",2,5,0,0,0,0,0,0,0,0,7,17,0,9,7,8,10,16,50,50,0.00,0.00,0.54,1.97,0.50,0,0,0,0,0,0,50,0,0,7.00,0.00,3.85,3.95,1.70,1.12,1.39,1.96,2.97,1.66,2.05,N/A
1776938400,Apr 23 2026 - 10:00am,complete,N/A,Ekibastuz,Kaspiy II,N/A,3,0.00,1.00,1.30,0.82,1,0,1,0,0,0,"74","",5,2,0,0,0,0,0,0,0,0,14,5,7,0,7,5,16,10,54,46,0.00,0.00,1.58,0.44,2.00,50,50,50,50,0,0,50,50,50,5.00,0.00,2.24,3.93,2.36,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1776938400,Apr 23 2026 - 10:00am,complete,N/A,Sport Academy Kairat,Aktobe Jas,N/A,3,1.00,1.00,2.45,0.64,6,0,6,3,3,0,"22,28,66,72,74,45","",5,2,0,0,0,0,0,0,0,0,30,5,9,1,21,4,16,11,61,39,0.00,1.60,2.61,0.42,2.00,50,50,50,50,0,0,50,50,50,5.00,0.00,1.45,4.80,5.00,0.00,1.26,1.72,2.52,1.58,2.15,Astana Arena
1777024800,Apr 24 2026 - 10:00am,complete,N/A,Tobol II,Turan Turkistan,N/A,3,1.00,0.00,0.70,2.11,2,3,5,3,1,2,"24,66","23,12,85",3,9,-1,-1,-1,-1,-1,-1,-1,-1,11,10,2,3,9,7,-1,-1,46,54,0.00,0.00,1.09,1.04,1.00,50,50,0,0,0,0,50,0,50,0.00,0.00,7.50,5.00,1.31,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1777028400,Apr 24 2026 - 11:00am,complete,N/A,Taraz,Yelimay II,N/A,3,3.00,1.00,2.00,0.50,3,0,3,3,3,0,"28,7,27","",8,2,-1,-1,-1,-1,-1,-1,-1,-1,13,6,4,1,9,5,-1,-1,58,42,0.00,0.00,1.49,0.55,2.50,50,100,50,0,0,0,50,50,100,0.00,0.00,1.49,4.51,4.58,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1777035600,Apr 24 2026 - 1:00pm,complete,N/A,Khan Tengri,Jaiyq,N/A,3,1.00,3.00,1.40,1.10,1,0,1,1,1,0,"22","",6,2,-1,-1,-1,-1,-1,-1,-1,-1,8,4,1,0,7,4,-1,-1,50,50,0.00,0.00,0.77,0.42,2.50,50,50,50,50,0,0,100,50,50,7.00,0.00,1.91,3.84,3.06,1.15,1.57,2.43,4.25,1.50,2.36,N/A
1777536000,Apr 30 2026 - 8:00am,complete,N/A,Aktobe Jas,Kaspiy II,N/A,4,3.00,0.50,1.44,0.82,3,3,6,2,1,1,"44,90,90'2","32,59,84",5,1,0,0,0,0,0,0,0,0,16,13,5,4,11,9,9,15,53,47,0.48,0.44,1.39,1.15,1.75,25,25,25,25,0,0,25,25,100,6.50,0.00,2.15,3.65,2.80,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1777543200,Apr 30 2026 - 10:00am,complete,N/A,Yelimay II,Ekibastuz,N/A,4,1.00,0.00,0.70,1.30,0,2,2,0,0,0,"","90'5,60",8,2,0,0,0,0,0,0,0,0,14,16,3,6,11,10,10,7,37,63,0.90,0.00,1.12,1.45,4.75,50,100,100,75,50,50,75,100,100,4.00,0.00,2.86,3.99,1.96,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1777546800,Apr 30 2026 - 11:00am,complete,N/A,Arys,Astana II,N/A,4,0.00,0.00,1.00,0.78,3,1,4,3,3,0,"18,8,39","87",4,7,0,0,0,0,0,0,0,0,19,17,9,6,10,11,10,14,48,52,0.54,0.22,2.00,1.67,2.25,0,25,25,25,25,25,100,25,25,6.50,0.00,3.92,4.07,1.64,1.12,1.43,2.17,3.58,1.40,2.50,N/A
1777629600,May 01 2026 - 10:00am,complete,N/A,Shakhter Karagandy,Tobol II,N/A,4,3.00,0.00,3.00,0.30,3,0,3,0,0,0,"51,72,90'4","",4,2,0,0,0,0,0,0,0,0,24,11,10,4,14,7,9,12,36,64,0.00,0.53,2.26,1.03,3.50,0,100,100,50,0,0,100,100,100,8.00,0.00,1.17,6.50,14.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Shakhter
1777633200,May 01 2026 - 11:00am,complete,N/A,Akademiya Ontustik,Taraz,N/A,4,3.00,0.00,2.00,0.80,2,1,3,0,0,0,"89,90'4","74",7,6,0,0,0,0,0,0,0,0,8,9,5,5,3,4,14,19,40,60,1.19,0.45,0.00,0.00,2.00,0,50,50,0,0,0,50,50,100,18.00,0.00,2.80,3.35,2.25,1.11,1.45,2.10,3.34,1.41,2.62,Futbol Ortalığı BÏİK Main Field
1777640400,May 01 2026 - 1:00pm,complete,N/A,Turan Turkistan,Khan Tengri,N/A,4,1.50,1.00,2.00,0.70,1,0,1,0,0,0,"62","",8,1,-1,-1,-1,-1,-1,-1,-1,-1,10,4,1,0,9,4,-1,-1,58,42,0.43,1.07,0.88,0.32,4.00,75,75,75,50,50,75,75,50,100,9.00,0.00,1.25,5.56,7.55,1.11,1.47,2.13,3.42,1.63,2.10,N/A
1777726800,May 02 2026 - 1:00pm,complete,N/A,Jaiyq,Sport Academy Kairat,N/A,4,3.00,1.00,1.78,2.44,0,5,5,1,0,1,"","1,51,67,90'1,85",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.28,0.00,0.00,0.00,1.50,50,50,0,0,0,0,50,50,50,6.00,0.00,3.40,3.70,1.85,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1778144400,May 07 2026 - 9:00am,complete,N/A,Tobol II,Arys,N/A,5,0.50,0.00,0.70,0.50,4,3,7,2,2,0,"45'1,45'2,65,86","71,73,80",13,2,0,0,0,0,0,0,0,0,22,17,9,6,13,11,15,10,63,37,1.09,0.25,2.05,1.50,2.25,50,50,25,25,25,25,50,25,100,5.00,0.00,2.26,3.80,2.40,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1778144400,May 07 2026 - 9:00am,complete,N/A,Astana II,Turan Turkistan,N/A,5,2.00,3.00,1.90,2.11,0,3,3,0,0,0,"","49,90'1,90'4",2,4,-1,-1,-1,-1,-1,-1,-1,-1,6,9,1,4,5,5,-1,-1,48,52,1.22,1.04,0.52,0.96,3.75,75,75,75,75,50,50,75,75,100,14.00,1.00,7.55,5.56,1.25,1.07,1.36,2.00,3.14,1.49,2.36,Astana Arena
