team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
FK Aktobe Jas,Aktobe Jas,2026,Kazakhstan,20,9,11,1,5,4,1,5,1,4,10,4,6,1,1.44,0.64,11,11,11,11,35,62,-27,97,40,57,17,18,23,39,-6,-21,51,48,55,29,35,25,1,1,0,14,6,8,5,2,3,5,3,2,70,43,27,5,1,4,47,50,44,219,98,121,89,38,51,130,60,70,185,81,104,9,4,5,29,12,17,-20,-8,-12,2,1,1,5,3,2,13,5,8,0.55,0.67,0.45,4.85,4.44,5.18,1.75,1.89,1.64,3.1,2.56,3.55,1.9,1.78,2,0.45,0.44,0.45,1.45,1.33,1.55,20,19,16,15,10,8,9,8,7,7,4,3,11,11,9,8,6,5,0,1,4,5,10,12,0,1,2,2,5,6,0,0,2,3,5,6,100,95,80,75,50,40,100,89,78,78,44,33,100,100,82,73,55,45,0,5,20,25,50,60,0,11,22,22,56,67,0,0,18,27,45,55,18,13,6,8,6,2,10,7,4,90,65,30,89,67,22,91,64,36,25,44,9,13,5,11,0,70,67,73,25,22,27,25,33,18,3,1,2,15,11,18,12,6,6,60,67,55,7,3,4,35,33,36,10,11,9,25,33,18,65,56,73,3.68,4.78,2.70,0.29,0.14,0.40,89,74,57,42,37,26,16,16,1.18,1.24,1.12,1.80,1.21,2.38,170,2,1,1,2,6,7,2,6,8,9,3,9,5,4,8,8,8,8,25,11,36,50,44,55,11
FK Ekibastuz,Ekibastuz,2026,Kazakhstan,20,10,10,0,7,3,4,5,4,1,8,3,5,1.3,1.3,1.3,8,10,5,8,28,38,-10,66,32,34,15,13,17,21,-2,-8,64,60,69,47,53,43,4,1,3,11,8,3,5,1,4,9,5,4,77,49,28,13,3,10,54,56,52,245,136,109,94,52,42,151,84,67,193,101,92,9,4,5,17,9,8,-8,-5,-3,3,1,2,8,5,3,9,4,5,0.85,0.8,0.9,3.3,3.2,3.4,1.4,1.5,1.3,1.9,1.7,2.1,1.3,1.3,1.3,0.45,0.4,0.5,0.85,0.9,0.8,20,18,12,9,4,3,10,9,5,4,2,2,10,9,7,5,2,1,0,2,8,11,16,17,0,1,5,6,8,8,0,1,3,5,8,9,100,90,60,45,20,15,100,90,50,40,20,20,100,90,70,50,20,10,0,10,40,55,80,85,0,10,50,60,80,80,0,10,30,50,80,90,15,9,2,8,4,1,7,5,1,75,45,10,80,40,10,70,50,10,35,30,40,9,20,10,30,55,80,30,25,10,40,45,50,40,8,3,5,40,30,50,13,6,7,65,60,70,4,3,1,20,30,10,15,10,20,40,50,30,45,40,50,4.05,4.90,3.11,0.76,0.33,1.25,79,68,53,42,21,21,16,11,1.34,1.37,1.28,1.26,1.26,1.27,80,2,1,2,3,4,5,1,4,6,2,2,4,7,2,3,5,3,10,25,40,10,40,30,50,0
FK Astana M,Astana II,2026,Kazakhstan,19,10,9,1,8,6,2,2,1,1,9,3,6,1.37,1.9,0.78,7,6,9,7,29,37,-8,66,37,29,20,9,17,20,3,-11,59,45,90,46,53,41,3,3,0,12,5,7,4,2,2,12,8,4,75,45,30,11,8,3,51,52,50,214,129,85,81,48,33,133,81,52,181,93,88,17,12,5,16,7,9,1,5,-4,7,3,4,5,5,0,7,2,5,1.37,1.4,1.33,3.47,3.7,3.22,1.53,2,1,1.95,1.7,2.22,1.74,1.9,1.56,0.89,1.2,0.56,0.84,0.7,1,19,16,14,8,4,3,10,8,7,5,3,2,9,8,7,3,1,1,0,3,5,11,15,16,0,2,3,5,7,8,0,1,2,6,8,8,100,84,74,42,21,16,100,80,70,50,30,20,100,89,78,33,11,11,0,16,26,58,79,84,0,20,30,50,70,80,0,11,22,67,89,89,15,9,5,6,5,4,9,4,1,79,47,26,60,50,40,100,44,11,42,60,22,22,16,30,0,63,50,78,21,20,22,63,80,44,11,7,4,58,70,44,10,5,5,53,50,56,2,2,0,11,20,0,37,30,44,26,50,0,37,20,56,3.95,4.50,3.33,0.79,1.14,0.43,79,74,47,32,26,16,11,0,1.03,1.06,0.98,1.23,1.25,1.21,105,5,6,3,2,2,3,4,2,2,2,7,1,4,6,4,2,3,8,11,10,11,47,30,67,0
FK Arys,Arys,2026,Kazakhstan,20,10,10,0,4,3,1,3,1,2,13,6,7,0.75,1,0.5,12,12,13,12,20,40,-20,60,32,28,11,9,21,19,-10,-10,90,82,100,45,43,47,2,1,1,10,4,6,9,5,4,7,5,2,76,38,38,4,3,1,43,47,39,207,131,76,65,38,27,142,93,49,187,94,93,11,9,2,17,10,7,-6,-1,-5,5,4,1,6,1,5,9,5,4,1.05,1.3,0.8,3,3.2,2.8,1,1.1,0.9,2,2.1,1.9,1.4,1.9,0.9,0.55,0.9,0.2,0.85,1,0.7,19,15,12,7,4,2,10,8,7,4,2,1,9,7,5,3,2,1,1,5,8,13,16,18,0,2,3,6,8,9,1,3,5,7,8,9,95,75,60,35,20,10,100,80,70,40,20,10,90,70,50,30,20,10,5,25,40,65,80,90,0,20,30,60,80,90,10,30,50,70,80,90,15,9,2,9,6,2,6,3,0,75,45,10,90,60,20,60,30,0,20,30,10,3,10,10,10,50,40,60,45,50,40,35,50,20,9,4,5,45,40,50,14,6,8,70,60,80,2,1,1,10,10,10,25,40,10,30,10,50,45,50,40,3.80,3.80,3.80,0.24,0.33,0.13,85,80,75,70,50,35,35,20,1.09,1.45,0.80,1.44,1.53,1.37,80,3,2,3,2,2,1,0,4,3,2,1,3,7,6,3,6,3,9,15,10,20,65,60,70,15
Jaiyq,Jaiyq,2026,Kazakhstan,19,9,10,1,8,5,3,3,1,2,8,3,5,1.42,1.78,1.1,6,8,6,6,18,23,-5,41,18,23,9,9,9,14,0,-5,95,90,100,74,90,64,8,5,3,5,1,4,7,4,3,9,5,4,52,27,25,9,3,6,41,45,38,149,74,75,47,24,23,102,50,52,171,82,89,11,5,6,9,2,7,2,3,-1,7,4,3,8,4,4,4,1,3,1.53,1.78,1.3,2.16,2,2.3,0.95,1,0.9,1.21,1,1.4,1.05,0.78,1.3,0.58,0.56,0.6,0.47,0.22,0.7,18,9,7,5,2,0,8,4,2,2,2,0,10,5,5,3,0,0,1,10,12,14,17,19,1,5,7,7,7,9,0,5,5,7,10,10,95,47,37,26,11,0,89,44,22,22,22,0,100,50,50,30,0,0,5,53,63,74,89,100,11,56,78,78,78,100,0,50,50,70,100,100,13,6,1,5,1,1,8,5,0,68,32,5,56,11,11,80,50,0,42,56,30,11,42,56,30,26,11,40,37,44,30,47,56,40,12,7,5,63,78,50,10,5,5,53,56,50,3,1,2,16,11,20,37,44,30,42,44,40,21,11,30,2.89,3.38,2.50,0.64,0.5,0.75,67,67,44,17,0,0,0,0,0.62,0.70,0.56,1.10,0.90,1.21,26,2,0,2,3,4,0,0,3,4,3,2,2,2,0,5,1,2,6,16,11,20,42,33,50,0
FK Shakhter Karagandy,Shakhter Karagandy,2026,Kazakhstan,21,10,11,0,19,10,9,1,0,1,1,0,1,2.76,3,2.55,1,1,1,1,62,7,55,69,33,36,32,30,1,6,31,24,31,28,33,273,900,164,17,9,8,4,1,3,1,0,1,18,9,9,132,69,63,19,6,13,51,55,49,309,167,142,135,69,66,174,98,76,182,61,121,22,10,12,3,1,2,19,9,10,13,6,7,8,4,4,0,0,0,2.24,2.2,2.27,3.29,3.3,3.27,2.95,3.2,2.73,0.33,0.1,0.55,1.19,1.1,1.27,1.05,1,1.09,0.14,0.1,0.18,20,17,12,8,5,4,10,7,7,5,2,1,10,10,5,3,3,3,1,4,9,13,16,17,0,3,3,5,8,9,1,1,6,8,8,8,95,81,57,38,24,19,100,70,70,50,20,10,91,91,45,27,27,27,5,19,43,62,76,81,0,30,30,50,80,90,9,9,55,73,73,73,15,8,1,7,4,0,8,4,1,71,38,5,70,40,0,73,36,9,90,100,82,39,81,90,73,19,10,27,5,0,9,86,90,82,19,9,10,90,90,91,6,3,3,29,30,27,2,1,1,10,10,9,62,60,64,38,40,36,0,0,0,6.95,7.67,6.30,1.12,0.75,1.44,79,74,57,47,37,32,26,16,1.72,2.22,1.22,0.58,0.56,0.61,105,2,5,4,8,8,9,9,6,11,2,0,1,0,1,2,0,1,0,5,0,9,5,0,9,5
FK Taraz,Taraz,2026,Kazakhstan,20,10,10,0,8,6,2,4,2,2,8,2,6,1.4,2,0.8,5,5,8,5,27,25,2,52,26,26,17,10,9,16,8,-6,67,53,90,72,100,56,5,3,2,11,6,5,5,2,3,10,6,4,132,65,67,26,13,13,58,63,54,231,125,106,83,43,40,148,82,66,223,102,121,12,7,5,13,5,8,-1,2,-3,6,3,3,7,4,3,7,3,4,1.25,1.3,1.2,2.6,2.6,2.6,1.35,1.7,1,1.25,0.9,1.6,1.25,1.2,1.3,0.6,0.7,0.5,0.65,0.5,0.8,19,16,11,3,2,1,9,9,7,1,0,0,10,7,4,2,2,1,1,4,9,17,18,19,1,1,3,9,10,10,0,3,6,8,8,9,95,80,55,15,10,5,90,90,70,10,0,0,100,70,40,20,20,10,5,20,45,85,90,95,10,10,30,90,100,100,0,30,60,80,80,90,14,7,3,7,4,1,7,3,2,70,35,15,70,40,10,70,30,20,40,60,20,27,25,30,20,55,60,50,25,20,30,50,60,40,12,6,6,60,60,60,12,6,6,60,60,60,2,1,1,10,10,10,30,30,30,35,40,30,35,30,40,6.95,7.22,6.70,1.73,1.86,1.63,100,89,74,53,32,32,26,16,1.24,1.25,1.24,0.86,0.74,1.00,65,3,3,2,3,1,1,1,6,7,5,1,3,0,8,2,1,2,3,20,20,20,40,20,60,11
Sport Academy Kairat,Sport Academy Kairat,2026,Kazakhstan,20,11,9,0,15,8,7,4,3,1,1,0,1,2.45,2.45,2.44,2,2,2,2,61,10,51,71,37,34,34,27,3,7,31,20,30,29,30,180,333,115,13,9,4,6,2,4,3,2,1,16,9,7,99,62,37,17,10,7,60,60,59,348,212,136,143,92,51,205,120,85,209,117,92,33,18,15,2,0,2,31,18,13,16,9,7,4,2,2,0,0,0,2.6,2.64,2.56,3.55,3.36,3.78,3.05,3.09,3,0.5,0.27,0.78,1.75,1.64,1.89,1.65,1.64,1.67,0.1,0,0.22,18,15,13,12,8,4,9,7,6,6,5,3,9,8,7,6,3,1,2,5,7,8,12,16,2,4,5,5,6,8,0,1,2,3,6,8,90,75,65,60,40,20,82,64,55,55,45,27,100,89,78,67,33,11,10,25,35,40,60,80,18,36,45,45,55,73,0,11,22,33,67,89,16,12,7,9,6,3,7,6,4,80,60,35,82,55,27,78,67,44,75,73,78,24,65,82,44,30,18,44,15,18,11,80,82,78,18,11,7,90,100,78,4,2,2,20,18,22,2,0,2,10,0,22,80,82,78,20,18,22,0,0,0,5.82,6.20,5.29,1.13,1.11,1.17,76,59,53,28,24,18,12,6,2.02,2.28,1.76,0.47,0.36,0.58,85,4,9,6,10,5,7,5,7,8,0,1,0,1,1,1,1,2,3,20,27,11,5,0,11,6
FK Tobol Kostanay II,Tobol II,2026,Kazakhstan,20,10,10,0,2,1,1,4,4,0,14,5,9,0.5,0.7,0.3,14,13,14,14,32,55,-23,87,53,34,24,8,29,26,-5,-18,56,38,113,33,31,35,1,0,1,13,9,4,6,1,5,7,5,2,69,42,27,7,6,1,57,59,55,218,138,80,85,55,30,133,83,50,201,116,85,16,12,4,23,13,10,-7,-1,-6,6,5,1,4,0,4,10,5,5,1.1,1.5,0.7,4.35,5.3,3.4,1.6,2.4,0.8,2.75,2.9,2.6,1.95,2.5,1.4,0.8,1.2,0.4,1.15,1.3,1,20,19,17,10,8,6,10,10,8,7,7,5,10,9,9,3,1,1,0,1,3,10,12,14,0,0,2,3,3,5,0,1,1,7,9,9,100,95,85,50,40,30,100,100,80,70,70,50,100,90,90,30,10,10,0,5,15,50,60,70,0,0,20,30,30,50,0,10,10,70,90,90,17,12,8,10,7,6,7,5,2,85,60,40,100,70,60,70,50,20,10,10,10,23,5,0,10,65,90,40,30,10,50,35,50,20,6,2,4,30,20,40,12,4,8,60,40,80,5,4,1,25,40,10,30,50,10,20,0,40,50,50,50,3.63,4.67,2.70,0.47,0.75,0.14,68,63,32,32,21,21,16,5,1.14,1.26,1.02,1.61,1.49,1.73,150,3,2,3,3,6,3,6,2,4,2,6,5,7,4,8,2,9,12,20,40,0,70,50,90,5
FK Akademiya Ontustik,Akademiya Ontustik,2026,Kazakhstan,21,11,10,0,12,7,5,3,1,2,6,3,3,1.86,2,1.7,4,4,4,4,35,27,8,62,34,28,20,15,14,13,6,2,54,49,60,70,71,69,4,2,2,15,9,6,3,0,3,12,7,5,100,73,27,13,10,3,47,49,45,278,145,133,99,50,49,179,95,84,280,129,151,17,9,8,10,6,4,7,3,4,8,5,3,8,3,5,5,3,2,1.52,1.64,1.4,2.95,3.09,2.8,1.67,1.82,1.5,1.29,1.27,1.3,1.29,1.36,1.2,0.81,0.82,0.8,0.48,0.55,0.4,20,17,16,6,3,0,11,10,9,3,1,0,9,7,7,3,2,0,1,4,5,15,18,21,0,1,2,8,10,11,1,3,3,7,8,10,95,81,76,29,14,0,100,91,82,27,9,0,90,70,70,30,20,0,5,19,24,71,86,100,0,9,18,73,91,100,10,30,30,70,80,100,16,8,3,9,4,2,7,4,1,76,38,14,82,36,18,70,40,10,57,64,50,6,19,18,20,71,82,60,14,0,30,57,64,50,12,6,6,57,55,60,9,4,5,43,36,50,5,3,2,24,27,20,38,45,30,38,27,50,24,27,20,5.26,7.30,3.00,0.72,1.11,0.33,79,79,68,53,47,37,26,11,1.56,1.85,1.39,0.96,0.69,1.12,100,4,4,2,4,5,0,2,4,10,3,3,2,2,1,3,3,6,4,14,9,20,29,27,30,5
