timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1772197200,Feb 27 2026 - 1:00pm,complete,N/A,Buxoro,Kokand-1912,N/A,1,0.00,0.00,2.50,0.70,1,0,1,1,1,0,"9","",5,11,1,0,1,0,0,1,1,0,14,10,6,6,8,4,-1,-1,40,60,0.00,0.00,1.57,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.28,2.92,3.40,1.55,2.82,5.30,12.00,2.28,1.59,Buxoro Sport Majmuasi
1772199900,Feb 27 2026 - 1:45pm,complete,N/A,Andijan,Sogdiana,Akobirxuja Shukurullaev,1,0.00,0.00,1.60,1.10,4,0,4,2,2,0,"45,13,53,84","",2,8,1,0,1,0,0,1,0,1,15,6,5,2,10,4,18,15,37,63,0.00,0.00,1.52,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.10,3.00,1.28,1.94,3.50,7.20,1.78,1.89,Stadion Soglom Avlod
1772200800,Feb 27 2026 - 2:00pm,complete,N/A,Pakhtakor,Qizilqum,N/A,1,0.00,0.00,1.90,0.78,2,0,2,0,0,0,"75,90'4","",5,1,0,0,0,0,0,0,0,0,20,7,7,1,13,6,13,6,78,22,0.00,0.00,2.18,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.28,4.80,8.00,1.19,1.70,2.62,4.70,2.05,1.65,Paxtakor Markaziy Stadion
1772286300,Feb 28 2026 - 1:45pm,complete,N/A,Neftchi,Mash'al,N/A,1,0.00,0.00,2.50,0.00,3,0,3,2,2,0,"9,30,76","",8,2,1,0,3,0,0,1,1,2,23,10,7,2,16,8,11,15,56,44,0.00,0.00,2.37,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,4.33,7.50,1.30,2.03,3.50,6.80,2.41,1.48,Stadion Istiqlol
1772287200,Feb 28 2026 - 2:00pm,complete,N/A,Lokomotiv,Termez Surkhon,N/A,1,0.00,0.00,2.00,1.22,3,1,4,1,1,0,"10,67,80","69",3,2,1,0,3,0,0,1,2,1,10,6,4,1,6,5,14,8,49,51,0.00,0.00,1.28,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.65,2.85,2.70,1.39,2.33,4.10,8.30,1.90,1.78,Stadion Lokomotiv
1772288100,Feb 28 2026 - 2:15pm,complete,N/A,Dinamo Samarqand,Navbahor,N/A,1,0.00,0.00,1.40,2.00,1,2,3,3,1,2,"5","11,25",2,7,2,0,0,0,0,2,0,0,10,13,5,6,5,7,12,10,56,44,0.00,0.00,1.50,1.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.30,4.33,1.32,2.00,3.58,7.10,1.95,1.75,Stadion Dinamo
1772373600,Mar 01 2026 - 2:00pm,complete,N/A,AGMK,Bunyodkor,Asker Nadjafaliev,1,0.00,0.00,1.33,1.30,0,1,1,0,0,0,"","63",3,2,3,0,3,0,1,2,2,1,18,7,6,2,12,5,8,13,57,43,0.00,0.00,1.98,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.89,3.32,3.79,1.25,1.89,3.14,6.30,1.75,1.93,N/A
1772374500,Mar 01 2026 - 2:15pm,complete,N/A,Nasaf,Xorazm,Rustam Lutfullin,1,0.00,0.00,1.33,0.70,1,0,1,0,0,0,"90","",6,0,1,0,1,0,0,1,1,0,16,5,5,2,11,3,15,10,70,30,0.00,0.00,1.69,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.50,4.80,1.24,1.88,3.05,5.85,1.82,1.85,Markaziy Stadion
1772631900,Mar 04 2026 - 1:45pm,complete,N/A,Kokand-1912,Pakhtakor,N/A,2,0.00,0.00,1.33,2.33,1,2,3,0,0,0,"90'6","56,49",1,6,1,0,1,0,1,0,0,1,3,12,3,3,0,9,8,6,50,50,0.00,0.00,0.66,1.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.60,3.30,1.70,1.36,2.15,4.10,8.60,2.11,1.62,Markaziy Stadion
1772633700,Mar 04 2026 - 2:15pm,complete,N/A,Qizilqum,Andijan,Rustam Lutfullin,2,0.00,0.00,1.60,1.22,2,1,3,1,1,0,"80,35","76",3,2,4,0,2,0,1,3,0,2,8,11,2,2,6,9,17,16,47,53,0.00,0.00,1.01,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.05,3.00,2.49,1.36,2.25,4.20,8.90,1.91,1.77,Yoshlar Sport Majmuasi
