team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
FK Pakhtakor Tashkent,Pakhtakor,2026,Uzbekistan,19,10,9,0,11,5,6,7,4,3,1,1,0,2.11,1.9,2.33,2,3,1,2,31,18,13,49,30,19,18,13,12,6,6,7,55,50,63,95,75,134,6,2,4,12,7,5,3,2,1,13,7,6,102,56,46,25,8,17,57,60,53,245,131,114,84,49,35,161,82,79,188,87,101,15,11,4,5,3,2,10,8,2,8,5,3,10,5,5,1,0,1,1.79,2,1.56,2.58,3,2.11,1.63,1.8,1.44,0.95,1.2,0.67,1.05,1.4,0.67,0.79,1.1,0.44,0.26,0.3,0.22,17,14,9,5,2,2,9,9,6,4,1,1,8,5,3,1,1,1,2,5,10,14,17,17,1,1,4,6,9,9,1,4,6,8,8,8,89,74,47,26,11,11,90,90,60,40,10,10,89,56,33,11,11,11,11,26,53,74,89,89,10,10,40,60,90,90,11,44,67,89,89,89,12,6,1,7,5,1,5,1,0,63,32,5,70,50,10,56,11,0,58,50,67,-8,32,20,44,63,70,56,16,20,11,68,70,67,15,8,7,79,80,78,8,3,5,42,30,56,3,2,1,16,20,11,42,50,33,53,50,56,5,0,11,5.37,5.60,5.11,1.32,0.8,1.89,68,63,42,26,16,16,11,11,1.50,1.58,1.42,1.19,1.18,1.20,53,1,6,3,1,7,4,2,4,3,2,0,2,0,3,2,3,1,5,37,40,33,5,10,0,5
FC Nasaf Qarshi,Nasaf,2026,Uzbekistan,19,9,10,0,6,3,3,7,3,4,6,3,3,1.32,1.33,1.3,9,11,5,9,20,18,2,38,14,24,7,13,7,11,0,2,86,115,69,95,115,82,6,5,1,10,3,7,5,3,2,8,5,3,92,52,40,35,14,21,53,57,50,247,125,122,83,41,42,164,84,80,198,101,97,7,1,6,9,2,7,-2,-1,-1,2,0,2,12,8,4,5,1,4,0.95,0.89,1,2,1.56,2.4,1.05,0.78,1.3,0.95,0.78,1.1,0.84,0.33,1.3,0.37,0.11,0.6,0.47,0.22,0.7,17,11,6,3,1,0,7,3,2,1,1,0,10,8,4,2,0,0,2,8,13,16,18,19,2,6,7,8,8,9,0,2,6,8,10,10,89,58,32,16,5,0,78,33,22,11,11,0,100,80,40,20,0,0,11,42,68,84,95,100,22,67,78,89,89,100,0,20,60,80,100,100,11,5,0,2,1,0,9,4,0,58,26,0,22,11,0,90,40,0,32,33,30,-4,32,56,10,53,33,70,26,33,20,42,56,30,10,7,3,53,78,30,13,8,5,68,89,50,4,1,3,21,11,30,11,0,20,63,89,40,26,11,40,4.84,5.78,4.00,1.84,1.56,2.10,74,57,53,53,53,47,26,16,1.49,1.58,1.41,1.35,1.18,1.48,47,1,2,2,1,2,3,3,1,5,1,3,0,0,5,0,3,3,3,37,33,40,32,33,30,11
FK Lokomotiv Tashkent,Lokomotiv,2026,Uzbekistan,19,9,10,0,9,5,4,4,3,1,6,1,5,1.63,2,1.3,5,4,6,5,32,26,6,58,27,31,17,15,10,16,7,-1,54,48,60,66,81,56,3,2,1,14,6,8,3,2,1,10,5,5,90,41,49,23,5,18,54,55,52,261,122,139,95,47,48,166,75,91,196,89,107,15,7,8,13,3,10,2,4,-2,6,4,2,8,4,4,5,1,4,1.37,1.78,1,3.05,3,3.1,1.68,1.89,1.5,1.37,1.11,1.6,1.47,1.11,1.8,0.79,0.78,0.8,0.68,0.33,1,18,17,12,7,3,1,8,7,5,4,2,1,10,10,7,3,1,0,1,2,7,12,16,18,1,2,4,5,7,8,0,0,3,7,9,10,95,89,63,37,16,5,89,78,56,44,22,11,100,100,70,30,10,0,5,11,37,63,84,95,11,22,44,56,78,89,0,0,30,70,90,100,14,11,3,5,3,2,9,8,1,74,58,16,56,33,22,90,80,10,47,56,40,16,16,22,10,74,67,80,16,22,10,53,56,50,10,7,3,53,78,30,9,5,4,47,56,40,5,1,4,26,11,40,32,44,20,42,44,40,26,11,40,4.74,4.56,4.90,1.21,0.56,1.80,84,68,37,32,26,21,21,21,1.68,1.70,1.67,1.38,1.40,1.36,116,3,1,1,4,7,3,6,4,3,3,7,1,0,2,0,6,2,5,21,33,10,32,11,50,16
FK Bunyodkor,Bunyodkor,2026,Uzbekistan,19,9,10,0,6,2,4,1,0,1,12,7,5,1,0.67,1.3,15,15,7,15,20,31,-11,51,24,27,9,11,15,16,-6,-5,86,90,82,55,54,56,4,1,3,9,5,4,7,3,4,6,3,3,71,34,37,27,13,14,49,49,50,183,90,93,60,30,30,123,60,63,144,68,76,9,5,4,19,10,9,-10,-5,-5,2,1,1,6,3,3,10,5,5,0.67,0.67,0.67,2.68,2.67,2.7,1.05,1,1.1,1.63,1.67,1.6,1.56,1.67,1.44,0.5,0.56,0.44,1.06,1.11,1,18,11,10,6,4,1,9,6,5,3,1,0,9,5,5,3,3,1,1,8,9,13,15,18,0,3,4,6,8,9,1,5,5,7,7,9,95,58,53,32,21,5,100,67,56,33,11,0,90,50,50,30,30,10,5,42,47,68,79,95,0,33,44,67,89,100,10,50,50,70,70,90,14,9,4,8,5,1,6,4,3,78,50,22,89,56,11,67,44,33,32,22,40,-4,21,11,30,47,56,40,37,33,40,32,33,30,6,2,4,33,22,44,11,5,6,61,56,67,5,3,2,28,33,22,11,11,11,33,33,33,56,56,56,3.94,3.78,4.11,1.5,1.44,1.56,89,78,61,33,17,17,17,11,1.22,1.23,1.21,1.69,1.73,1.66,84,1,2,2,2,4,2,4,0,3,7,3,1,4,5,1,5,1,1,5,0,10,63,78,50,6
FK AGMK,AGMK,2026,Uzbekistan,19,9,10,0,8,3,5,5,3,2,6,3,3,1.53,1.33,1.7,6,12,4,6,27,25,2,52,22,30,11,16,11,14,0,2,63,74,56,68,74,64,3,1,2,12,6,6,6,3,3,6,3,3,116,65,51,29,15,14,52,51,53,243,118,125,77,40,37,166,78,88,227,92,135,11,4,7,13,5,8,-2,-1,-1,4,1,3,9,6,3,6,2,4,1.11,1,1.2,2.74,2.44,3,1.42,1.22,1.6,1.32,1.22,1.4,1.26,1,1.5,0.58,0.44,0.7,0.68,0.56,0.8,17,13,11,7,4,0,8,6,5,2,1,0,9,7,6,5,3,0,2,6,8,12,15,19,1,3,4,7,8,9,1,3,4,5,7,10,89,68,58,37,21,0,89,67,56,22,11,0,90,70,60,50,30,0,11,32,42,63,79,100,11,33,44,78,89,100,10,30,40,50,70,100,12,7,3,5,2,1,7,5,2,63,37,16,56,22,11,70,50,20,42,33,50,-3,16,11,20,63,67,60,32,33,30,32,33,30,10,5,5,53,56,50,12,6,6,63,67,60,4,2,2,21,22,20,21,11,30,47,67,30,32,22,40,6.11,7.22,5.10,1.53,1.67,1.40,79,68,63,63,53,47,42,37,1.60,1.74,1.49,1.34,1.35,1.34,84,2,2,1,5,2,5,1,4,5,3,2,2,3,5,2,4,0,4,26,33,20,32,33,30,21
Mash'al Mubarek,Mash'al,2026,Uzbekistan,19,10,9,0,1,1,0,1,1,0,17,8,9,0.21,0.4,0,16,16,16,16,8,34,-26,42,17,25,3,5,14,20,-11,-15,214,300,161,50,64,41,1,1,0,7,2,5,11,7,4,4,2,2,64,46,18,41,21,20,42,46,38,152,84,68,53,27,26,99,57,42,210,107,103,3,1,2,20,6,14,-17,-5,-12,0,0,0,8,6,2,11,4,7,0.42,0.6,0.22,2.21,1.7,2.78,0.42,0.3,0.56,1.79,1.4,2.22,1.21,0.7,1.78,0.16,0.1,0.22,1.05,0.6,1.56,19,14,7,2,0,0,10,5,1,1,0,0,9,9,6,1,0,0,0,5,12,17,19,19,0,5,9,9,10,10,0,0,3,8,9,9,100,74,37,11,0,0,100,50,10,10,0,0,100,100,67,11,0,0,0,26,63,89,100,100,0,50,90,90,100,100,0,0,33,89,100,100,13,8,1,5,2,0,8,6,1,68,42,5,50,20,0,89,67,11,5,10,0,-4,5,10,0,37,20,56,58,70,44,21,20,22,6,5,1,32,50,11,16,9,7,84,90,78,3,1,2,16,10,22,0,0,0,42,60,22,58,40,78,3.37,4.60,2.00,2.16,2.1,2.22,79,79,63,47,37,21,16,11,1.00,1.07,0.93,1.79,1.74,1.85,21,0,3,0,0,0,1,3,0,1,3,3,1,7,7,2,2,2,7,5,10,0,89,80,100,5
Neftchi Fargona,Neftchi,2026,Uzbekistan,19,10,9,0,14,8,6,3,1,2,2,1,1,2.37,2.5,2.22,1,1,2,1,45,10,35,55,31,24,26,19,5,5,21,14,38,35,43,170,180,161,12,5,7,6,4,2,3,1,2,12,7,5,129,76,53,39,20,19,57,58,56,306,170,136,123,62,61,183,108,75,204,122,82,19,10,9,7,5,2,12,5,7,10,5,5,6,2,4,3,3,0,1.89,1.7,2.11,2.89,3.1,2.67,2.37,2.6,2.11,0.53,0.5,0.56,1.37,1.5,1.22,1,1,1,0.37,0.5,0.22,17,15,13,6,3,1,10,9,8,3,1,0,7,6,5,3,2,1,2,4,6,13,16,18,0,1,2,7,9,10,2,3,4,6,7,8,89,79,68,32,16,5,100,90,80,30,10,0,78,67,56,33,22,11,11,21,32,68,84,95,0,10,20,70,90,100,22,33,44,67,78,89,16,8,1,10,5,0,6,3,1,84,42,5,100,50,0,67,33,11,74,80,67,8,63,50,78,32,40,22,16,10,22,63,70,56,12,5,7,63,50,78,6,3,3,32,30,33,4,2,2,21,20,22,53,50,56,32,20,44,16,30,0,6.79,7.60,5.89,2.05,2,2.11,84,79,63,53,42,26,21,16,1.88,1.91,1.84,1.17,1.08,1.26,89,4,4,3,3,8,7,4,4,8,2,0,2,2,2,0,0,1,1,16,10,22,11,10,11,5
FK Andijan,Andijan,2026,Uzbekistan,19,10,9,0,8,5,3,3,1,2,8,4,4,1.42,1.6,1.22,7,6,9,7,24,20,4,44,22,22,13,11,9,11,4,0,71,69,74,86,100,74,8,5,3,6,3,3,7,3,4,7,4,3,81,53,28,35,23,12,51,54,47,226,128,98,75,44,31,151,84,67,217,110,107,6,3,3,5,2,3,1,1,0,4,2,2,11,7,4,4,1,3,1.21,1.3,1.11,2.32,2.2,2.44,1.26,1.3,1.22,1.05,0.9,1.22,0.58,0.5,0.67,0.32,0.3,0.33,0.26,0.2,0.33,17,12,10,3,1,1,9,7,5,1,0,0,8,5,5,2,1,1,2,7,9,16,18,18,1,3,5,9,10,10,1,4,4,7,8,8,89,63,53,16,5,5,90,70,50,10,0,0,89,56,56,22,11,11,11,37,47,84,95,95,10,30,50,90,100,100,11,44,44,78,89,89,8,3,0,3,2,0,5,1,0,42,16,0,30,20,0,56,11,0,42,50,33,9,42,50,33,32,30,33,37,30,44,37,40,33,15,9,6,79,90,67,15,8,7,79,80,78,0,0,0,0,0,0,21,20,22,58,70,44,21,10,33,4.26,5.30,3.11,1.84,2.3,1.33,84,79,63,32,11,0,0,0,1.46,1.54,1.35,1.22,1.18,1.26,79,1,4,0,0,1,3,2,6,7,0,0,1,2,3,4,1,5,4,16,10,22,42,40,44,0
PFK Dinamo Samarqand,Dinamo Samarqand,2026,Uzbekistan,19,10,9,0,7,3,4,5,5,0,7,2,5,1.37,1.4,1.33,8,8,8,8,29,30,-1,59,30,29,16,13,14,16,2,-3,59,56,63,57,64,51,2,1,1,17,9,8,1,1,0,11,4,7,54,32,22,38,19,19,52,52,52,232,143,89,92,53,39,140,90,50,214,116,98,18,9,9,12,7,5,6,2,4,8,4,4,6,3,3,5,3,2,1.58,1.5,1.67,3.11,3,3.22,1.53,1.6,1.44,1.58,1.4,1.78,1.58,1.6,1.56,0.95,0.9,1,0.63,0.7,0.56,18,17,15,6,2,1,9,9,7,4,1,0,9,8,8,2,1,1,1,2,4,13,17,18,1,1,3,6,9,10,0,1,1,7,8,8,95,89,79,32,11,5,90,90,70,40,10,0,100,89,89,22,11,11,5,11,21,68,89,95,10,10,30,60,90,100,0,11,11,78,89,89,14,9,5,7,5,3,7,4,2,74,47,26,70,50,30,78,44,22,37,30,44,8,11,10,11,89,90,89,5,10,0,58,40,78,11,5,6,58,50,67,8,5,3,42,50,33,5,3,2,26,30,22,42,40,44,32,30,33,26,30,22,2.84,3.20,2.44,2,1.9,2.11,53,42,21,5,5,5,5,5,1.57,1.65,1.47,1.41,1.38,1.44,116,6,2,5,2,4,1,3,5,1,2,2,3,2,4,5,2,5,5,26,50,0,37,20,56,0
FK Navbahor Namangan,Navbahor,2026,Uzbekistan,19,9,10,0,11,5,6,4,2,2,4,2,2,1.95,1.89,2,3,5,3,3,31,17,14,48,29,19,18,13,11,6,7,7,55,45,69,101,74,150,8,2,6,10,6,4,2,1,1,15,7,8,119,66,53,30,12,18,55,59,52,277,136,141,100,48,52,177,88,89,218,78,140,21,12,9,7,4,3,14,8,6,11,6,5,8,3,5,0,0,0,2.16,2.33,2,2.53,3.22,1.9,1.63,2,1.3,0.89,1.22,0.6,1.47,1.78,1.2,1.11,1.33,0.9,0.37,0.44,0.3,18,14,7,3,3,2,9,7,4,3,3,2,9,7,3,0,0,0,1,5,12,16,16,17,0,2,5,6,6,7,1,3,7,10,10,10,95,74,37,16,16,11,100,78,44,33,33,22,90,70,30,0,0,0,5,26,63,84,84,89,0,22,56,67,67,78,10,30,70,100,100,100,14,9,4,7,5,3,7,4,1,74,47,21,78,56,33,70,40,10,58,56,60,-7,42,22,60,53,67,40,11,11,10,79,78,80,12,5,7,63,56,70,5,2,3,26,22,30,7,4,3,37,44,30,58,67,50,42,33,50,0,0,0,6.26,7.33,5.30,1.58,1.33,1.80,100,79,63,37,37,26,16,5,1.70,1.72,1.69,1.06,0.93,1.18,53,6,7,2,3,4,1,4,1,3,1,2,2,1,1,2,2,2,4,21,22,20,21,22,20,0
