2	PRIX LOUIS DU CHEYRON [26,987]
	Type : 4U HCP CL4
16:55	1600m, TURF S

Tab	Horse	Form L5	BP	12m%	Car%	Dist%	DLR	Crs%	JRat	TRat	PM 12m	GD%	Turf%	AW%	SH%	PM Car	LS Det	CD%
1	BURNING HEART	32732	7	0-28-18	4-29-28	17-33-6	16	0-33-3	1.5	2.3	$1,020	0-67-6	0-33-15	8-23-13	0-11-9	$1,368	2nd-5L-FRDX8-1400m-4UHCP CL4gs--$7.3--60.5kg	0-0-0
2	MONTE LINAS	1x041	6	15-31-13	13-29-31	7-21-14	42	100-100-1	2.2	3.0	$1,780	18-36-11	16-32-19	8-25-12	0-14-7	$1,508	1st-0.8L-LATE7-1900m-4UHCP CL4g--$10--57kg	0-0-0
3	GONDOLO	x0369	12	9-27-11	12-29-17	0-43-7	55	0-100-1	1.8	2.5	$899	11-22-9	13-33-15	0-0-2	17-50-6	$1,276	9-5L-TOU8-1600m-4UHCP CL4gs--$9--60.5kg	0-100-1
4	SINNERMAN	x32x4	11	0-0-1	19-38-21	0-0-3	42	0-20-5	1.6	3.1	$1,467	12-50-8	23-46-13	12-25-8	40-40-5	$2,417	4-3.3L-LATE7-1900m-4UHCP CL4g--$9.6--59.5kg	0-0-1
5	HOLA VALQUIRIA	0x300	14	0-38-13	0-37-19	0-44-9	16	0-50-4	2.1	1.8	$915	0-30-10	0-36-14	0-25-4	0-50-4	$858	10-7.9L-FRDX8-1400m-4UHCP CL4gs--$40.1--59.5kg	0-67-3
6	MANA MAHA	22934	13	7-40-15	10-37-51	8-31-13	16	0-33-3	1.6	3.4	$1,589	6-44-18	6-32-34	20-53-15	6-19-16	$1,852	4-6.1L-FRDX8-1400m-4UHCP CL4gs--$3.3--58.5kg	0-0-2
7	SEVEN FOR ALL	000x5	5	0-0-8	0-0-8	0-0-3	14	0-0-2	1.6	2.0	$224	0-0-4	0-0-5	0-0-3	0-0-1	$224	5-2.1L-LATE6-1900m-4UMDNg--$16.9--58.5kg	0-0-0
8	HOT IN FRONT	56p5x	10	0-0-3	6-12-17	0-0-3	301	0-0-2	1.9	2.4	$773	25-25-4	7-13-15	0-0-2	0-9-11	$1,114	5-27L-TOU5-3500m-4CFHCP HDLEs--$37--67.5kg	0-0-0
9	GYP SEA	98647	15	8-23-13	7-24-29	0-12-8	42	0-20-5	2.1	3.0	$1,688	0-11-9	8-27-26	0-0-3	12-35-17	$1,515	7-4.4L-LATE7-1900m-4UHCP CL4g--$16--57kg	0-0-0
10	ZOFFWALTZ	00608	2	0-30-10	12-33-52	20-40-15	19	25-38-8	2.7	3.4	$543	10-30-20	12-33-33	11-33-18	15-38-13	$1,800	8-6.6L-DEAAW2-1500m-4UCL4 CONDsl--$22.9--53.5kg	33-50-6
11	DARIYA KA DE SAON	x0160	8	17-17-6	9-9-11	25-25-4	16	0-0-1	2.1	2.0	$1,491	17-17-6	12-12-8	0-0-3	0-0-2	$813	11-8.9L-FRDX8-1400m-4UHCP CL4gs--$7.6--56kg	0-0-1
12	GRECIAN RULER	06750	4	0-0-11	5-14-22	0-0-5	27	0-0-2	3.3	1.8	$249	10-10-10	5-16-19	0-0-3	0-22-9	$805	12-5.9L-LGP5-1400m-4UHCP CL3g--$9.6--59kg	0-0-2
13	PAINT CHOP	0566x	9	0-0-3	0-29-14	0-57-7	312	0-0-4	1.9	3.0	$370	0-17-6	0-22-9	0-40-5	0-33-3	$944	6-7.2L-LATE7-1400m-3MDNgs--$32--58.5kg	0-0-2
14	RISING UP	83451	1	12-24-17	10-26-69	13-30-30	34	33-100-3	2.7	1.9	$1,495	11-39-18	9-33-43	12-15-26	8-28-25	$1,811	1st-0.3L-LATE7-1600m-4UHCP CL4gs--$4.8--57kg	33-100-3
15	BOEZA	97550	3	0-7-15	7-11-28	8-8-13	12	0-25-4	2.6	2.2	$342	11-22-9	5-10-20	12-12-8	0-0-11	$1,124	11-5.1L-FRTA6-1500m-4UHCP CL4s--$8.3--59kg	0-0-1
16	CITE MALESHERBES	x04x5	15	14-14-7	11-28-18	22-44-9	55	0-0-4	2.0	2.2	$1,625	0-0-8	12-31-16	0-0-2	25-62-8	$1,411	5-2.7L-TOU8-1600m-4UHCP CL4gs--$25--54.5kg	0-0-1
