timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1755531900,Aug 18 2025 - 3:45pm,complete,N/A,Gol Gohar,Aluminium Arak,Vahid Zamani,1,0.00,0.00,1.82,0.91,1,0,1,1,1,0,"16","",5,7,3,0,0,0,1,2,0,0,6,9,6,4,0,5,-1,-1,58,42,0.00,0.00,1.20,1.25,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.56,3.15,2.98,1.78,3.28,9.00,21.00,2.50,1.50,Imam Ali Stadium
1755531900,Aug 18 2025 - 3:45pm,complete,N/A,Zob Ahan,Paykan,Hassan Akrami,1,0.00,0.00,1.20,0.91,0,1,1,1,0,1,"","20",6,3,2,0,1,0,0,2,0,1,15,9,6,3,9,6,-1,-1,44,56,0.00,0.00,1.84,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.47,2.52,4.15,1.70,3.00,6.10,17.00,2.30,1.57,Folād Shahr Stadium
1755532800,Aug 18 2025 - 4:00pm,complete,N/A,Persepolis,Fajr Sepasi,Vahid Kazemi,1,0.00,0.00,1.82,0.92,1,1,2,1,0,1,"90'5","14",8,5,2,0,2,0,1,1,0,2,6,7,1,2,5,5,-1,-1,44,56,0.00,0.00,0.94,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,4.10,10.37,1.44,2.30,4.60,10.00,3.25,1.30,Shahr-e Qods Stadium
1755532800,Aug 18 2025 - 4:00pm,complete,N/A,Kheybar Khorramabad,Mes Rafsanjan,N/A,1,0.00,0.00,1.50,0.45,3,2,5,4,2,2,"23,45'1,54","9,17",-1,-1,4,0,3,0,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,2.27,5.03,1.70,3.05,7.00,17.00,2.38,1.53,N/A
1755617400,Aug 19 2025 - 3:30pm,complete,N/A,Tractor Sazi,Esteghlal,Payam Heydari,1,0.00,0.00,2.00,1.55,0,1,1,0,0,0,"","69",-1,-1,1,0,2,0,1,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.31,2.92,2.93,1.56,2.65,5.85,9.20,2.21,1.56,N/A
1755619200,Aug 19 2025 - 4:00pm,complete,N/A,Chadormalu SC,Foolad,Naser Jangi,1,0.00,0.00,2.09,1.18,1,0,1,0,0,0,"90'1","",2,1,2,1,1,1,0,3,2,0,2,7,1,4,1,3,-1,-1,51,49,0.00,0.00,0.46,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.68,3.05,2.35,1.62,2.78,4.75,11.00,2.28,1.51,N/A
1755619200,Aug 19 2025 - 4:00pm,complete,N/A,Esteghlal Khuzestan,Shams Azar Qazvin,Seyed Reza Mahdavi,1,0.00,0.00,1.45,1.09,1,1,2,1,1,0,"27","73",4,3,3,0,3,0,1,2,1,2,5,7,2,4,3,3,-1,-1,57,43,0.00,0.00,0.77,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.72,2.67,2.95,1.62,2.78,6.75,10.00,2.33,1.54,Ghadir Stadium
1755620100,Aug 19 2025 - 4:15pm,complete,N/A,Malavan,Sepahan,Sa'adat Vafapisheh,1,0.00,0.00,1.73,1.91,1,1,2,1,0,1,"66","14",4,4,2,0,3,1,0,2,3,1,8,5,2,2,6,3,-1,-1,44,56,0.00,0.00,0.91,0.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.50,2.80,1.73,1.50,2.75,0.00,0.00,0.00,0.00,N/A
1756136700,Aug 25 2025 - 3:45pm,complete,N/A,Paykan,Esteghlal Khuzestan,Meysam Heydari,2,0.00,0.00,1.17,0.82,1,1,2,2,1,1,"22","25",7,2,2,0,3,0,0,2,1,2,6,6,3,4,3,2,-1,-1,52,48,0.00,0.00,1.00,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.98,2.78,4.50,1.58,2.75,6.05,15.00,2.30,1.47,Shahid Dastgerdi Stadium
1756136700,Aug 25 2025 - 3:45pm,complete,N/A,Aluminium Arak,Kheybar Khorramabad,Sa'adat Vafapisheh,2,0.00,0.00,1.09,1.00,0,1,1,0,0,0,"","65",7,2,1,0,1,0,0,1,1,0,5,7,0,3,5,4,-1,-1,54,46,0.00,0.00,0.95,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,2.34,3.10,1.75,3.30,8.00,12.00,2.45,1.57,Imam Khomeini Stadium
