timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1786125600,Aug 07 2026 - 6:00pm,complete,2400,Dordrecht,Ajax II,N/A,1,0.00,0.00,1.50,0.00,2,1,3,3,2,1,"6,14","4",8,3,3,0,3,0,1,2,0,3,19,13,8,6,11,7,18,13,52,48,0.00,0.00,1.87,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.55,4.50,4.76,1.13,1.44,2.10,3.70,1.53,2.28,Riwal Hoogwerkers Stadion
1786125600,Aug 07 2026 - 6:00pm,complete,2715,Oss,NAC Breda,N/A,1,0.00,0.00,0.00,3.00,1,2,3,1,1,0,"18","69,90'1",3,8,1,0,1,0,0,1,1,0,14,27,4,6,10,21,12,11,29,71,0.00,0.00,1.17,2.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,4.00,1.60,1.17,1.50,2.29,4.10,1.51,2.39,Frans Heesen Stadion
1786125600,Aug 07 2026 - 6:00pm,complete,6500,VVV,Heracles,N/A,1,0.00,0.00,1.50,3.00,3,4,7,2,0,2,"78,83,86","38,45,71,88",5,5,1,0,2,0,1,0,1,1,11,23,3,8,8,15,13,14,50,50,0.00,0.00,1.16,2.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.62,3.40,2.16,1.16,1.57,2.40,4.25,1.45,2.50,Seacon Stadion De Koel
1786125600,Aug 07 2026 - 6:00pm,complete,6566,Emmen,Roda JC,N/A,1,0.00,0.00,3.00,1.50,1,0,1,0,0,0,"68","",0,2,4,0,0,0,1,3,0,0,15,10,7,4,8,6,25,10,44,56,0.00,0.00,1.50,0.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.70,2.42,1.10,1.50,2.18,4.20,1.42,2.61,N/A
1786125600,Aug 07 2026 - 6:00pm,complete,16698,Vitesse,RKC Waalwijk,N/A,1,0.00,0.00,0.50,1.00,1,1,2,1,1,0,"38","87",6,2,2,1,3,0,1,2,1,2,11,18,4,5,7,13,9,14,42,58,0.00,0.00,1.36,1.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.39,3.58,2.50,1.12,1.53,2.43,4.33,1.46,2.55,GelreDome
1786199400,Aug 08 2026 - 2:30pm,complete,5584,Den Bosch,Almere City,N/A,1,0.00,0.00,2.00,2.00,1,1,2,0,0,0,"60","63",7,5,0,0,1,0,0,0,0,1,19,22,4,4,15,18,10,8,52,48,0.00,0.00,1.76,2.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.50,2.20,1.11,1.40,2.00,3.40,1.36,2.88,Stadion De Vliert
1786270500,Aug 09 2026 - 10:15am,complete,1782,Helmond Sport,De Graafschap,N/A,1,0.00,0.00,1.00,0.50,1,1,2,2,1,1,"9","45'3",7,3,2,0,2,0,0,2,0,2,11,16,4,3,7,13,12,15,36,64,0.00,0.00,1.26,1.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.35,2.05,1.17,1.57,2.55,4.33,1.44,2.50,SolarUnie Stadion
1786286700,Aug 09 2026 - 2:45pm,complete,3800,MVV,Utrecht II,N/A,1,0.00,0.00,3.00,0.00,2,1,3,2,1,1,"2,46","6",3,5,1,0,1,0,1,0,1,0,11,14,7,3,4,11,12,12,57,43,0.00,0.00,1.54,1.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.34,3.60,2.36,1.12,1.57,2.40,4.40,1.47,2.43,De Geusselt
1786384800,Aug 10 2026 - 6:00pm,complete,835,PSV II,Volendam,N/A,1,0.00,0.00,3.00,0.00,3,2,5,2,1,1,"19,82,90","38,61",7,2,1,0,0,0,0,1,0,0,19,4,9,3,10,1,16,4,60,40,0.00,0.00,2.26,0.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.80,1.86,1.12,1.53,2.27,3.68,1.48,2.47,Sportcomplex De Herdgang
1786384800,Aug 10 2026 - 6:00pm,complete,650,AZ II,Eindhoven,N/A,1,0.00,0.00,0.00,1.50,0,1,1,0,0,0,"","82",5,3,1,0,1,0,0,1,1,0,8,10,5,3,3,7,10,12,58,42,0.00,0.00,1.31,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,4.10,2.73,1.11,1.39,2.10,3.60,1.40,2.65,AFAS Trainingscomplex
