1		SILVER GRECIAN HANDICAP [162,037]															
		Type : RST40-0  C5															
18:30		1650m, TURF S															
																		
Tab	Horse	Form L5	BP	12m%	Car%	Dist%	DLR	Crs%	JRat	TRat	PM 12m	GD%	Turf%	AW%	SH%	PM Car	LS Det	CD%
1	EMERGING STAR	0x000	10	0-0-3	0-0-5	0-0-0	45	0-0-0	1.4	1.4	$0	0-0-5	0-0-5	0-0-0	0-0-0	$0	10-5.75L-SHAT4-1200m-RST60-40g--$192--51kg	0-0-0
2	CONRAD THE GREAT	29697	3	0-20-10	0-18-11	0-0-2	18	0-0-3	1.7	2.3	$55,575	0-0-5	0-0-5	0-33-6	0-0-0	$50,523	7-5L-SHATA5-1650m-RST60-40g--$28--52kg	0-0-1
3	FASHION LEGEND	70069	2	0-8-13	14-29-49	11-21-19	18	0-0-7	4.6	2.5	$23,850	8-24-25	17-33-30	11-21-19	60-80-5	$209,943	9-6.25L-SHATA5-1650m-RST60-40g--$20--51.5kg	0-0-2
4	OUR LUCKY GLORY	x3470	4	0-40-10	6-25-48	0-25-16	35	7-29-42	2.7	1.5	$67,860	6-26-47	6-25-48	0-0-0	0-0-1	$102,732	10-7.75L-HAPV2-1650m-RST60-40g--$8.2--52.5kg	0-25-16
5	SETANTA	60824	12	0-23-13	10-29-73	6-32-34	42	6-33-33	2.6	4.1	$61,823	10-30-71	10-29-73	0-0-0	0-0-2	$108,540	4-2.25L-HAPV1-1650m-RST40-0gf--$7.4--61kg	6-32-31
6	TO INFINITY	99079	6	7-14-14	12-20-56	16-23-43	35	14-22-50	2.5	2.5	$56,411	13-21-53	13-20-55	0-0-1	0-0-2	$86,793	9-6.75L-HAPV2-1650m-RST60-40g--$45--51.5kg	16-23-43
7	VIVA BOSS	00047	5	0-0-8	0-0-8	0-0-2	7	0-0-5	3.6	2.5	$11,700	0-0-8	0-0-8	0-0-0	0-0-0	$11,700	7-2.25L-HAPV2-1650m-RST60-40g--$42--52.5kg	0-0-2
8	CELESTIAL HARMONY	16487	9	9-18-11	11-19-27	18-18-11	38	0-0-6	1.8	1.9	$60,057	10-20-20	10-19-21	17-17-6	0-0-1	$31,256	7-5.25L-SHATA1-1800m-RST40-0ws--$11--57.5kg	0-0-4
9	KASA PAPA	90456	1	0-10-10	5-31-58	0-25-24	49	4-30-23	2.9	3.1	$48,673	4-32-47	5-33-55	0-0-3	12-38-8	$73,643	6-8.5L-HAPV2-2200m-RST40-0gf--$15--58.5kg	0-27-15
10	LUCKY BLESSING	70758	7	8-17-12	5-10-20	14-14-7	14	10-10-10	2.0	3.3	$65,625	5-11-19	5-11-19	0-0-1	0-0-0	$46,103	8-2.75L-SHAT1-1600m-RST40-0gf--$13--58kg	17-17-6
11	TELECOM POWER	70435	8	0-33-15	8-29-38	0-43-7	21	4-32-28	1.0	2.7	$55,637	8-31-36	8-30-37	0-0-1	0-0-1	$69,044	5-4.25L-HAPV1-2200m-RST40-0g--$9.5--57kg	0-50-6
12	PERFECTO MOMENTS	84424	11	0-33-9	0-15-20	0-33-9	14	0-22-9	1.4	2.7	$76,319	0-15-20	0-15-20	0-0-0	0-0-0	$36,389	4-2L-SHAT1-1600m-RST40-0gf--$3.3--53.5kg	0-29-7
