Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,LONDON IS BLUE,4,17,31.0,26.0,3.5,0.0,0.0,0.0,1.5,0.0,31.0,0.0,28.6,$3.50
6,SHINING GUEST,4,27,29.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,28.6,$3.50
4,BEACH PARTEE,12,8,33.0,26.0,3.5,0.0,0.5,0.0,0.0,0.0,30.0,1.0,22.9,$4.40
5,MY MATE MACKLEY,11,18,27.0,27.0,0.5,0.0,0.0,0.0,-1.0,0.0,26.5,4.5,5.7,$18.00
3,HAVANA JAG,5,27,36.0,25.5,0.0,0.0,-1.0,0.0,0.0,1.5,26.0,5.0,4.0,$26.00
2,LOLEETA,2,24,31.0,14.0,4.0,0.0,0.0,0.0,0.0,3.0,21.0,10.0,0.3,$301.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,NORFOLK BLUE,7,24,26.0,25.5,-2.0,0.0,0.0,0.0,1.0,0.0,24.5,0.0,46.1,$2.15
2,INSPECTRE,3,15,20.5,20.5,2.0,0.0,0.0,0.0,0.5,0.0,23.0,1.5,30.9,$3.20
4,TWILIGHT BABY,3,44,21.0,20.5,0.0,-1.5,0.0,0.0,1.5,0.0,20.5,4.0,11.5,$8.50
3,MUCHACHO,FU,75,21.5,21.5,0.0,-6.0,0.0,0.0,1.0,0.0,16.5,8.0,1.4,$71.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,MAKES ME WONDER,3,17,26.5,26.5,1.5,0.0,0.0,0.0,-0.5,2.5,30.0,0.0,48.6,$2.05
4,SANGARA,3,8,27.5,26.5,1.5,0.0,0.0,0.0,0.0,0.0,28.0,2.0,27.7,$3.60
6,OH SO AUDACIOUS,6,18,21.0,21.0,1.0,0.0,0.0,0.0,2.5,0.0,24.5,5.5,5.3,$19.00
