Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,CALAS,6,23,46.0,46.0,1.0,0.0,1.0,0.0,1.5,0.0,49.5,0.0,33.8,$3.00
4,OLYMPIC MESSAGE,3,23,45.0,45.0,1.5,0.0,-0.5,0.0,2.5,0.0,48.5,1.0,27.1,$3.70
9,HARPER,6,14,47.0,47.0,0.5,0.0,0.0,-0.5,1.0,0.0,48.0,1.5,22.7,$4.40
7,NO LIMIT DREAM,10,17,45.0,43.0,1.0,0.0,-1.0,0.0,-0.5,0.0,42.5,7.0,1.7,$61.00
3,FELIX AUX ORMES,15,58,45.0,44.5,0.0,-3.0,-1.0,0.0,1.5,0.0,42.0,7.5,1.4,$71.00
2,PURPLE LION,FU,149,45.0,45.0,0.0,-6.0,1.5,0.0,-0.5,0.0,40.0,9.5,0.3,$301.00
6,MONTGAUDRY,20,24,39.0,39.0,1.0,0.0,1.5,-0.5,-0.5,0.0,40.5,9.0,0.3,$301.00
8,FREJA,FU,89,39.5,39.5,0.0,-6.0,0.5,0.0,-0.5,0.0,33.5,16.0,0.3,$301.00
10,GALORD,2,12,45.5,28.0,4.0,0.0,0.0,-1.0,-1.0,0.0,30.0,19.5,0.3,$301.00
11,WESTMINSTER NIGHT,21,14,48.0,43.0,-2.0,0.0,-1.0,-1.0,0.0,0.0,39.0,10.5,0.3,$301.00
12,SHINNING OCEAN,FU,155,34.0,34.0,0.0,-6.0,0.0,-0.5,-1.5,0.0,26.0,23.5,0.3,$301.00
13,CELESTIN,FU,173,26.5,26.5,0.0,-6.0,0.0,0.0,-0.5,-0.5,19.5,30.0,0.3,$301.00
14,MARHARRY,4,24,41.0,41.0,-3.0,0.0,0.0,0.0,0.0,-0.5,37.5,12.0,0.3,$301.00
15,GITANO,3,7,50.5,33.0,4.0,0.0,-0.5,0.0,-0.5,0.0,36.0,13.5,0.3,$301.00
16,HIGHBARI,6,23,46.5,41.0,-3.0,0.0,0.0,0.0,0.5,0.0,38.5,11.0,0.3,$301.00
5,KRASKHOV,7,23,44.5,43.5,-2.0,0.0,0.0,0.0,-1.0,0.0,40.5,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
2,DREAM OF GLORY,4,30,26.5,25.5,0.0,-1.5,0.0,0.0,2.5,0.0,26.5,0.0,29.6,$3.40
4,OLYMPIQUE,7,14,26.5,26.5,-2.0,0.0,0.0,0.0,1.0,0.0,25.5,1.0,23.7,$4.20
6,GOKITA,6,14,26.0,26.0,-2.0,0.0,0.0,0.0,0.0,0.0,24.0,2.5,14.8,$6.50
1,KATA TJUTA,5,14,25.5,25.0,-2.0,0.0,0.0,0.0,-0.5,0.0,22.5,4.0,7.4,$14.00
5,QUIET STRENGTH,6,18,23.5,23.5,-2.0,0.0,0.0,0.0,-0.5,1.5,22.5,4.0,7.4,$14.00
3,CLOUDBUSTING,4,17,21.5,21.5,-2.0,0.0,0.0,0.0,2.5,0.0,22.0,4.5,5.9,$17.00
7,ENFANT PARADIS,10,4,23.5,22.0,-3.0,0.0,-0.5,0.0,-1.0,1.5,19.0,7.5,1.2,$81.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
3,BAILEYS BACHELOR,9,10,41.0,41.0,-2.0,0.0,-0.5,0.0,-0.5,0.0,38.0,0.0,27.2,$3.70
10,KOUTSOUNAKOS,2,20,40.0,30.0,3.5,0.0,1.0,0.0,0.5,1.5,36.5,1.5,18.2,$5.50
6,PRADARO,FU,70,42.5,42.5,0.0,-6.0,0.5,0.0,-1.0,0.0,36.0,2.0,15.5,$6.50
7,GIORGIANA,6,32,35.0,35.0,0.0,-1.5,2.0,0.0,0.0,0.0,35.5,2.5,13.6,$7.50
9,QUIET WIFE,16,8,38.0,34.5,3.5,0.0,-1.0,-0.5,-1.0,0.0,35.5,2.5,13.6,$7.50
11,CLAIM THE STARS,6,8,37.5,32.0,-3.0,0.0,-0.5,0.0,-0.5,1.5,29.5,8.5,0.5,$201.00
1,SWEET AS,15,7,31.5,27.5,-2.0,0.0,0.5,0.0,0.5,0.0,26.5,11.5,0.3,$401.00
2,LE CENTRAL,20,10,35.0,29.5,-3.0,0.0,-2.5,0.0,-0.5,3.5,27.0,11.0,0.3,$401.00
4,IMPITOYABLE,12,10,33.5,26.5,0.0,0.0,-1.0,0.0,0.5,0.0,26.0,12.0,0.3,$401.00
5,KAMAND,FU,749,,31.5,0.0,-6.0,0.0,0.0,0.5,0.0,26.0,12.0,0.3,$401.00
8,FREE MOVEMENT,7,61,37.0,28.5,0.0,-3.0,-0.5,0.0,0.5,0.0,25.5,12.5,0.3,$401.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
11,ESPARTINAS,FU,94,34.0,34.0,0.0,-6.0,0.0,0.0,0.0,0.0,28.0,0.0,18.3,$5.50
4,IRRESITIBLEMENT,8,18,34.5,28.0,0.5,0.0,0.0,0.0,-1.0,0.0,27.5,0.5,16.5,$6.00
8,CADEAU DE NOEL,FU,85,31.5,31.5,0.0,-6.0,0.0,0.0,1.5,0.0,27.0,1.0,14.7,$7.00
6,VIENNA'S PRIDE,3,13,25.5,25.5,2.0,0.0,0.0,0.0,-1.0,0.0,26.5,1.5,12.3,$8.00
7,DREAM MACHINE,5,22,31.5,28.5,-2.0,0.0,0.0,0.0,-0.5,0.0,26.0,2.0,10.4,$9.50
3,DORADO,FU,354,31.0,31.0,0.0,-6.0,0.0,0.0,0.0,0.0,25.0,3.0,7.3,$14.00
