Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
2,ALPINE WEDDING,4,18,28.5,28.5,1.0,0.0,0.0,-2.0,0.5,0.0,28.0,0.0,38.6,$2.60
16,ZENITH BLAZE,2,12,23.5,23.5,2.0,0.0,0.0,0.0,1.5,0.0,27.0,1.0,30.9,$3.20
8,MALA,2,19,21.0,21.0,2.0,0.0,0.0,0.0,1.0,0.0,24.0,4.0,9.7,$10.00
17,OCEAN SURGE,3,18,21.0,21.0,2.0,0.0,0.0,0.0,-0.5,0.0,22.5,5.5,4.3,$26.00
12,SNOWING,4,23,21.5,22.0,-2.0,0.0,0.0,0.0,1.5,0.0,21.5,6.5,2.3,$41.00
1,ACQUILYX,FU,0,0.0,18.0,0.0,0.0,0.0,-1.5,2.5,0.0,19.0,9.0,0.4,$301.00
4,CURRACLOE,FU,0,0.0,18.0,0.0,0.0,0.0,-1.0,0.5,0.0,17.5,10.5,0.4,$301.00
5,EVIE'S DELIGHT,FU,0,0.0,18.0,0.0,0.0,0.0,0.0,-0.5,1.5,19.0,9.0,0.4,$301.00
6,ITA FLORENCE,FU,0,0.0,18.0,0.0,0.0,0.0,-0.5,-0.5,0.0,17.0,11.0,0.4,$301.00
7,LADY CHANCALOT,FU,0,0.0,18.0,0.0,0.0,0.0,0.0,-0.5,0.0,17.5,10.5,0.4,$301.00
9,MOTHER'S CALL,FU,0,0.0,18.0,0.0,0.0,0.0,-1.5,-0.5,0.0,16.0,12.0,0.4,$301.00
10,POPPED,2,23,0.0,10.0,2.0,0.0,0.0,-1.0,-0.5,0.0,10.5,17.5,0.4,$301.00
11,SISTER NANCY,3,61,14.0,14.5,0.0,-3.0,0.0,0.0,-1.0,0.0,10.5,17.5,0.4,$301.00
13,SOCIAL CIRCLE,FU,65,12.0,12.0,0.0,-6.0,0.0,0.0,0.0,0.0,6.0,22.0,0.4,$301.00
14,WECOULDAVEHADITALL,3,9,13.0,13.0,2.0,0.0,0.0,0.0,-1.0,0.0,14.0,14.0,0.4,$301.00
15,ZELENTE,FU,0,0.0,18.0,0.0,0.0,0.0,-0.5,1.5,0.0,19.0,9.0,0.4,$301.00
3,ATLANTIC ROSE,FU,0,0.0,18.0,0.0,0.0,0.0,-2.0,0.0,0.0,16.0,scr,scr,scr
18,YOUVEONLYONEMOTHER,2,17,0.0,10.0,2.0,0.0,0.0,0.0,-0.5,0.0,11.5,scr,scr,scr
19,ROMANCE,3,12,14.5,14.5,1.5,0.0,0.0,-0.5,-0.5,0.0,15.0,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
6,DRUMBEAT,3,26,26.5,26.5,2.0,0.0,0.0,-1.0,1.5,0.0,29.0,0.0,65.2,$1.55
15,THE CAPTAINS DAY,2,23,22.5,22.5,2.0,0.0,0.0,-1.0,1.5,0.0,25.0,4.0,16.3,$6.00
1,BOLD MOVE,3,47,14.5,14.5,0.0,-3.0,0.0,-0.5,-0.5,0.0,10.5,18.5,0.7,$201.00
2,CAPABILITY BROWN,2,50,11.5,12.0,0.0,-3.0,0.0,-0.5,-0.5,2.5,10.5,18.5,0.7,$201.00
3,CLOSEFIELD BEAU,3,20,5.5,10.0,2.0,0.0,0.0,-2.0,-1.0,0.0,9.0,20.0,0.7,$201.00
4,CONSENZA,2,23,15.5,15.5,2.0,0.0,0.0,0.0,0.5,0.0,18.0,11.0,0.7,$201.00
5,DAWNMORE,FU,0,0.0,12.5,0.0,0.0,0.0,-0.5,-0.5,0.0,11.5,17.5,0.7,$201.00
7,EQUUS VICTOR,2,17,16.5,16.5,1.5,0.0,0.0,0.0,0.5,0.0,18.5,10.5,0.7,$201.00
8,FORTHETHRILLOFIT,FU,0,0.0,12.5,0.0,0.0,0.0,0.0,0.5,1.5,14.5,14.5,0.7,$201.00
9,HOW NOW,FU,0,0.0,12.5,0.0,0.0,0.0,0.0,-0.5,0.0,12.0,17.0,0.7,$201.00
10,INVINCIBLE MIND,FU,0,0.0,12.5,0.0,0.0,0.0,-1.5,2.5,0.0,13.5,15.5,0.7,$201.00
11,KING PADDY,3,17,3.5,10.0,2.0,0.0,0.0,0.0,-1.0,0.0,11.0,18.0,0.7,$201.00
13,POWER THROUGH,FU,0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,16.5,0.7,$201.00
14,SNAPEQUUS,2,20,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,0.7,$201.00
16,VERONA BASILICA,2,17,10.0,10.0,2.0,0.0,0.0,-1.5,0.0,0.0,10.5,18.5,0.7,$201.00
12,LAMAR RIVER,FU,158,0.0,12.5,0.0,-6.0,0.0,0.0,1.0,0.0,7.5,scr,scr,scr
17,MOON SAND,3,3,13.5,13.5,2.0,0.0,0.0,0.0,-0.5,0.0,15.0,scr,scr,scr
18,DON'T GO MAD,2,9,0.0,10.0,2.0,0.0,0.0,0.0,-0.5,0.0,11.5,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
9,STARBORN LEGEND,4,35,33.0,32.5,0.0,-1.5,0.0,0.0,2.5,0.0,33.5,0.0,41.5,$2.40
11,HASITA,6,25,32.0,32.0,0.5,0.0,0.0,0.0,0.5,0.0,33.0,0.5,37.3,$2.70
17,PERFECT BASE,FU,75,33.5,33.5,0.0,-6.0,0.0,-1.0,1.5,0.0,28.0,5.5,4.6,$21.00
2,ELDORADO GLORY,3,12,23.5,23.5,2.0,0.0,0.0,-0.5,1.5,0.0,26.5,7.0,2.1,$51.00
4,HOLY LETTUCE,4,12,28.5,28.0,-2.0,0.0,0.0,-1.5,0.5,0.0,25.0,8.5,0.8,$101.00
1,BLUE VEGA,FU,0,0.0,16.5,0.0,0.0,0.0,0.0,-1.0,0.0,15.5,18.0,0.4,$201.00
3,ENIGMA CODE,FU,0,0.0,16.5,0.0,0.0,0.0,-1.5,1.0,0.0,16.0,17.5,0.4,$201.00
5,KEOGIE,2,2,28.5,10.0,4.0,0.0,0.0,0.0,0.5,0.0,14.5,19.0,0.4,$201.00
7,MR MERCURY,2,51,0.0,10.0,0.0,-3.0,0.0,0.0,-1.0,0.0,6.0,27.5,0.4,$201.00
10,SWING STREET,3,14,11.5,11.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,20.5,0.4,$201.00
12,MARDI GRAS QUEEN,2,29,24.5,10.0,4.0,0.0,0.0,-0.5,-0.5,0.0,13.0,20.5,0.4,$201.00
13,MARKED BY THUNDER,FU,0,0.0,16.5,0.0,0.0,0.0,-1.0,1.5,0.0,17.0,16.5,0.4,$201.00
