Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
8,WRIST ART,25,9,30.0,30.0,0.5,0.0,-3.0,0.0,0.5,2.5,30.5,0.0,59.6,$1.70
6,ALAZWAR,10,35,30.5,28.5,0.0,-1.5,-0.5,0.0,-0.5,0.0,26.0,4.5,11.9,$8.50
9,LITTLE SHE,8,9,34.0,26.5,-2.0,0.0,-1.0,0.0,-0.5,2.5,25.5,5.0,8.3,$12.00
10,THE PUG,30,9,29.0,26.5,-3.0,0.0,-1.0,0.0,-0.5,3.0,25.0,5.5,6.6,$15.00
1,BOWNDER,27,8,24.5,18.0,-2.0,0.0,-1.0,0.0,-0.5,0.0,14.5,16.0,0.6,$201.00
2,DIVOT,8,18,24.5,17.0,-3.0,0.0,0.0,0.0,2.5,0.0,16.5,14.0,0.6,$201.00
3,KURIOS LADY,8,22,21.0,16.5,-2.0,0.0,-0.5,0.0,-0.5,0.0,13.5,17.0,0.6,$201.00
4,NORFLONDONFOREVER,5,26,18.0,18.0,1.0,0.0,0.0,0.0,-0.5,2.5,21.0,9.5,0.6,$201.00
5,IMPERIAL DECISION,2,20,23.0,10.0,4.0,0.0,0.0,0.0,-0.5,3.0,16.5,14.0,0.6,$201.00
7,WARRNAMBOOL,3,12,25.0,15.5,3.5,0.0,-0.5,0.0,0.5,2.5,21.5,9.0,0.6,$201.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,STORM FORCE,2,16,28.0,28.0,1.5,0.0,0.0,0.0,1.5,0.0,31.0,0.0,40.0,$2.50
2,BLAZING GADEN,2,16,0.0,28.0,1.5,0.0,-0.5,0.0,0.5,0.0,29.5,1.5,26.8,$3.70
4,FRANTIC,5,59,34.5,32.5,0.0,-3.0,0.0,0.0,-0.5,0.0,29.0,2.0,22.8,$4.40
3,GOLD STAR GAZING,2,61,29.5,23.0,0.0,-3.0,0.0,0.0,1.5,0.0,21.5,9.5,0.4,$201.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
7,READER,2,11,33.0,31.0,1.5,0.0,0.0,0.0,1.5,0.0,34.0,0.0,65.7,$1.50
1,NOTHING BUT LOVE,4,26,28.0,28.0,1.0,0.0,0.0,0.0,1.5,0.0,30.5,3.5,21.7,$4.60
2,MIRAFLORES,4,14,23.0,10.0,0.0,0.0,-1.0,0.0,0.5,0.0,9.5,24.5,0.7,$201.00
3,DUSK DAMSEL,9,15,24.0,17.0,3.5,0.0,-0.5,0.0,0.0,2.5,22.5,11.5,0.7,$201.00
5,FOR EVER HOPEFULL,3,40,25.5,25.0,0.0,-1.5,0.0,0.0,-0.5,0.0,23.0,11.0,0.7,$201.00
6,GARTH SPIRIT,3,38,0.0,10.0,0.0,-1.5,0.0,0.0,0.5,1.5,10.5,23.5,0.7,$201.00
4,AU POINT,2,15,0.0,10.0,2.0,0.0,0.0,0.0,1.5,0.0,13.5,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
2,NO RETURN,11,15,38.5,38.5,-3.0,0.0,-0.5,0.0,1.0,0.0,36.0,0.0,81.1,$1.22
6,LOCHABER,2,7,25.5,25.5,1.5,0.0,0.0,0.0,0.0,3.0,30.0,6.0,6.5,$15.00
3,ELVETHAM,14,19,28.5,28.5,-3.0,0.0,0.5,0.0,0.5,0.0,26.5,9.5,0.8,$101.00
4,FLETCHER'S FLIGHT,FU,78,29.5,29.5,0.0,-6.0,-0.5,0.0,0.5,0.0,23.5,12.5,0.8,$101.00
5,MART,22,12,44.5,26.5,-2.0,0.0,-3.0,0.0,1.0,1.5,24.0,12.0,0.8,$101.00
1,DONTSPOILASALE,5,12,41.0,23.0,-2.0,0.0,-2.5,0.0,0.0,0.0,18.5,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,HOPE RISING,8,14,35.0,34.0,-2.0,0.0,1.0,0.0,1.5,0.0,34.5,0.0,57.3,$1.75
2,PERCY JONES,6,14,38.5,34.0,-2.0,0.0,-0.5,0.0,0.5,0.0,32.0,2.5,28.7,$3.50
4,CELESTARAK,4,54,29.0,28.5,0.0,-3.0,0.0,0.0,0.0,1.5,27.0,7.5,2.3,$41.00
3,LA PEREGRINA,7,31,27.0,27.0,0.0,-1.5,0.0,0.0,0.5,0.0,26.0,8.5,1.1,$91.00
5,ST HILDA,5,13,29.0,27.0,-2.0,0.0,0.0,0.0,-0.5,0.0,24.5,10.0,0.6,$201.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,MUSICAL SOLDIER,14,7,28.0,28.0,0.5,0.0,1.5,0.0,1.5,0.0,31.5,0.0,74.4,$1.35
4,AHEAD OF FASHION,2,16,24.5,23.5,1.5,0.0,0.0,0.0,1.5,0.0,26.5,5.0,10.4,$9.50
5,LAUGHTERINTHERAIN,5,28,23.5,23.5,1.0,0.0,0.0,0.0,0.0,0.0,24.5,7.0,3.7,$26.00
2,PARANJAPE,6,12,26.5,20.0,-2.0,0.0,0.0,0.0,1.0,0.0,19.0,12.5,0.7,$101.00
3,HEIR OF AMBITION,4,50,18.0,17.5,0.0,-3.0,0.0,0.0,1.0,0.0,15.5,16.0,0.7,$101.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
7,LAHINA BAY,7,19,30.0,27.5,1.0,0.0,0.0,0.0,0.5,0.0,29.0,0.0,27.0,$3.70
1,HORACE WALLACE,4,24,29.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,21.6,$4.60
5,BALON D'OR,6,14,32.0,26.5,1.0,0.0,0.0,0.0,0.0,0.0,27.5,1.5,18.1,$5.50
3,FAR TOO FIZZY,4,17,26.5,26.5,0.5,0.0,0.0,0.0,-0.5,0.0,26.5,2.5,13.5,$7.50
2,SARAFINA MSHAIRI,4,26,29.5,23.0,0.5,0.0,0.0,0.0,1.5,0.0,25.0,4.0,6.8,$15.00
6,BESSIE WALLIS,2,15,27.5,18.5,3.5,0.0,0.0,0.0,0.5,0.0,22.5,6.5,1.6,$61.00
8,MISTER MOET,6,12,27.5,22.0,-2.0,0.0,0.0,0.0,1.5,0.0,21.5,7.5,1.1,$91.00
4,PHOENIX MOON,7,40,29.0,15.0,0.0,-1.5,0.0,0.0,-0.5,0.0,13.0,16.0,0.3,$401.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,RB YAS SIR,FU,137,29.5,29.5,0.0,-6.0,0.5,0.0,-0.5,0.0,23.5,0.0,87.4,$1.14
2,JEEWAN,2,16,,10.0,1.5,0.0,0.0,0.0,-0.5,0.0,11.0,12.5,0.9,$101.00
3,MOBAASHER,FU,336,,0.5,0.0,-6.0,0.0,0.0,-0.5,0.0,1.0,22.5,0.9,$101.00
4,ZAYIN ZIKARIO,FU,0,,0.5,0.0,0.0,0.0,0.0,-0.5,0.0,1.0,22.5,0.9,$101.00
5,NADHIR DES COMBETTES,FU,0,,0.5,0.0,0.0,0.0,0.0,-0.5,0.0,1.0,scr,scr,scr

