Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
7,COSMOS RAJ,9,10,31.5,31.5,1.0,0.0,-0.5,0.0,1.5,1.5,35.0,0.0,39.5,$2.50
4,YERMANTHERE,7,8,35.0,35.0,-3.0,0.0,-0.5,0.0,0.0,1.5,33.0,2.0,22.5,$4.40
3,HIS FINEST HOUR,3,17,33.0,31.0,1.5,0.0,0.0,0.0,-0.5,0.0,32.0,3.0,15.8,$6.50
6,DRAUPNIR,7,24,35.5,29.0,1.0,0.0,0.0,0.0,-0.5,1.5,31.0,4.0,9.9,$10.00
8,PRECIOUS SPARTAN,3,22,32.5,23.0,3.5,0.0,0.0,0.0,-0.5,1.5,27.5,7.5,1.6,$61.00
1,POET'S DAWN,15,10,34.5,20.0,-2.0,0.0,2.5,0.0,1.5,2.5,24.5,10.5,0.4,$301.00
5,NO KNEE NEVER,27,20,43.0,27.5,-2.0,0.0,-2.0,0.0,0.5,0.0,24.0,11.0,0.4,$301.00
2,TRIPLE FORCE,FU,66,42.0,42.0,0.0,-6.0,0.5,0.0,0.0,0.0,36.5,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
5,EMPRESS PRINCESS,2,19,20.0,20.0,2.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,46.1,$2.15
6,KUMHARAS,FU,0,0.0,19.0,0.0,0.0,0.0,0.0,1.5,0.0,20.5,2.5,23.1,$4.40
2,CATAVEGA,FU,0,0.0,19.0,0.0,0.0,0.0,0.0,0.5,0.0,19.5,3.5,15.2,$6.50
1,AMERICAN PSYCHO,2,38,21.0,17.5,0.0,-1.5,0.0,0.0,1.5,0.0,17.5,5.5,5.1,$20.00
7,THE RESDEV ROMAN,FU,94,16.5,16.5,0.0,-6.0,0.0,0.0,0.0,0.0,10.5,12.5,0.5,$201.00
3,WALT,FU,66,3.0,10.0,0.0,-6.0,0.0,0.0,1.5,0.0,5.5,scr,scr,scr
4,CLASSYFIED,3,8,14.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,LADY DUBLIN,8,31,23.5,23.5,0.0,-1.5,0.5,0.0,-1.0,0.0,21.5,0.0,24.1,$4.20
2,STAR PEOPLE,6,12,26.5,21.0,-2.0,0.0,0.0,0.0,2.5,0.0,21.5,0.0,24.1,$4.20
3,LEXINGTON BOOM,4,20,21.0,21.0,0.5,0.0,0.0,0.0,-1.0,0.0,20.5,1.0,19.3,$5.00
6,INCA WARRIOR,3,45,19.0,19.0,0.0,-1.5,0.0,0.0,1.5,0.0,19.0,2.5,12.0,$8.50
4,ROMAN CRYSTAL,6,24,17.5,17.5,0.5,0.0,0.0,0.0,0.5,0.0,18.5,3.0,9.6,$10.00
5,MAY BEE IN PROFIT,3,12,23.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,7.5,1.0,$101.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
9,ANOTHER INVESTMENT,5,21,45.0,35.5,-2.0,0.0,-0.5,0.0,-0.5,1.5,34.0,0.0,33.0,$3.00
2,TOP JUGGLER,5,21,35.5,35.0,-2.0,0.0,0.5,0.0,-0.5,0.0,33.0,1.0,26.4,$3.80
10,SPIRIT OF APPLAUSE,7,10,34.5,34.5,-2.0,0.0,-0.5,0.0,-1.0,0.0,31.0,3.0,13.2,$7.50
4,REIGNING PROFIT,13,16,35.5,34.5,-3.0,0.0,-1.0,0.0,-1.0,0.0,29.5,4.5,6.6,$15.00
3,KIND TOUCH,4,52,32.0,29.0,0.0,-3.0,0.0,0.0,2.5,0.0,28.5,5.5,3.6,$26.00
6,CHARLIE MASON,22,34,37.0,28.0,0.0,-1.5,0.0,0.0,1.5,0.0,28.0,6.0,2.6,$41.00
5,ARDUIS INVICTA,7,34,34.5,30.0,0.0,-1.5,-0.5,0.0,-0.5,0.0,27.5,6.5,2.0,$51.00
7,ANAISA,3,17,34.5,24.0,4.0,0.0,-0.5,0.0,0.0,0.0,27.5,6.5,2.0,$51.00
1,YES I'M MALI,13,4,38.0,10.0,0.0,0.0,-1.0,0.0,1.5,0.0,10.5,23.5,0.3,$301.00
8,SECRET GUEST,22,17,40.5,28.0,-2.0,0.0,-1.0,0.0,-0.5,0.0,24.5,9.5,0.3,$301.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
5,FARANDAWAY,5,10,35.5,30.5,3.5,0.0,0.0,0.0,0.5,0.0,34.5,0.0,26.0,$3.80
1,ALMARADA PRINCE,8,39,37.5,35.0,0.0,-1.5,-0.5,0.0,-0.5,0.0,32.5,2.0,14.8,$6.50
10,EDUCATING RITA,4,17,40.0,34.0,-2.0,0.0,-0.5,0.0,1.0,0.0,32.5,2.0,14.8,$6.50
4,HERE FOREVER,4,57,34.0,33.5,0.0,-3.0,0.0,0.0,1.5,0.0,32.0,2.5,13.0,$7.50
3,GOYARD,5,21,36.0,29.5,0.5,0.0,0.0,0.0,1.5,0.0,31.5,3.0,10.4,$9.50
7,MISTER SOX,12,17,40.0,35.5,-2.0,0.0,-1.0,0.0,-1.0,0.0,31.5,3.0,10.4,$9.50
2,VENTURE CAPITAL,2,31,38.5,24.5,0.0,-1.5,-0.5,0.0,1.5,0.0,24.0,10.5,0.3,$401.00
6,WOBWOBWOB,2,11,39.0,19.5,4.0,0.0,-0.5,0.0,1.0,0.0,24.0,10.5,0.3,$401.00
8,FORTAMOUR,7,39,36.5,21.5,0.0,-1.5,0.0,0.0,-0.5,0.0,19.5,scr,scr,scr
9,FIRST FOLIO,6,17,38.5,28.5,-2.0,0.0,-0.5,0.0,-0.5,0.0,25.5,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
3,CATTON LADY,3,22,36.0,36.0,1.5,0.0,0.0,0.0,0.5,0.0,38.0,0.0,77.6,$1.28
2,DONNA NOOK,10,18,37.0,28.5,1.0,0.0,-1.0,0.0,2.5,0.0,31.0,7.0,3.9,$26.00
1,GARDEN OASIS,11,17,33.5,27.0,-2.0,0.0,-1.0,0.0,0.5,0.0,24.5,13.5,0.8,$101.00
4,KISS ME MY LOVE,11,26,32.0,29.0,-2.0,0.0,0.5,0.0,1.5,0.0,29.0,9.0,0.8,$101.00
5,BELLASIO,7,42,28.5,28.5,0.0,-1.5,0.0,0.0,-0.5,0.0,26.5,11.5,0.8,$101.00
6,THORNABY ANNIE,8,34,30.0,27.5,0.0,-1.5,-0.5,-0.5,0.5,1.5,27.0,11.0,0.8,$101.00
7,HOPEFUL JOY,4,57,26.0,22.0,0.0,-3.0,0.0,0.0,-0.5,0.0,18.5,19.5,0.8,$101.00
8,MILFORD GRANGE,8,24,28.0,27.0,0.5,0.0,-0.5,0.0,1.0,0.0,28.0,10.0,0.8,$101.00
9,PARODA DIVA,2,22,25.0,18.5,2.5,0.0,0.0,-0.5,0.0,0.0,20.5,17.5,0.8,$101.00
10,ZERMATT STAR,3,26,26.5,22.5,2.0,0.0,0.0,0.0,-0.5,0.0,24.0,14.0,0.8,$101.00
11,G'EMMETHEGREENLITE,2,13,21.5,21.5,1.5,0.0,0.0,-0.5,-0.5,0.0,22.0,16.0,0.8,$101.00
12,GUNALT WAVELENGTH,6,38,28.0,25.5,0.0,-1.5,0.0,0.0,-0.5,2.5,26.0,12.0,0.8,$101.00
13,PENNY GHENT,8,34,29.0,27.0,0.0,-1.5,0.0,0.0,-0.5,2.5,27.5,10.5,0.8,$101.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
2,ZIMMERMAN,FU,85,34.0,34.0,0.0,-6.0,-0.5,0.0,0.0,0.0,27.5,0.0,27.1,$3.70
6,REGALLY BLONDE,8,15,23.5,21.5,3.5,0.0,-0.5,0.0,1.0,1.5,27.0,0.5,24.4,$4.00
4,DEREHAM,4,24,25.5,25.5,-2.0,0.0,0.0,0.0,-0.5,3.0,26.0,1.5,18.2,$5.50
3,BOLLIN NEIL,FU,223,27.5,27.5,0.0,-6.0,0.0,0.0,1.5,2.5,25.5,2.0,15.4,$6.50
7,SI WHITE,4,24,24.5,24.0,-2.0,0.0,0.0,0.0,0.5,0.0,22.5,5.0,3.8,$26.00
1,TWILIGHT SAFARI,6,39,30.5,22.5,0.0,-1.5,-0.5,0.0,-0.5,0.0,20.0,7.5,1.1,$91.00
5,FEMME FATALE,4,24,26.0,23.5,1.0,0.0,0.0,0.0,1.5,0.0,26.0,scr,scr,scr

