Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
5,THE CRISTAL,6,19,33.0,33.0,1.0,0.0,0.0,0.0,2.5,0.0,36.5,0.0,42.9,$2.35
8,QUIRKY PRINCESS,3,10,32.5,32.5,1.5,0.0,0.0,0.0,0.5,0.0,34.5,2.0,24.4,$4.00
4,JOIKA,5,19,33.0,33.5,-3.0,0.0,0.0,0.0,2.5,0.0,33.0,3.5,14.1,$7.00
9,ROYAL PRINCESS,6,10,36.0,33.0,-2.0,0.0,-0.5,0.0,1.0,0.0,31.5,5.0,6.0,$17.00
1,MEMPHIS BLUE,10,18,27.5,24.5,3.5,0.0,-0.5,0.0,-0.5,0.0,27.0,9.5,0.4,$201.00
2,SO YOU READY,5,10,32.0,24.0,-2.0,0.0,-1.0,0.0,0.0,0.0,21.0,15.5,0.4,$201.00
3,TSAREVICH,3,32,34.0,27.5,0.0,-1.5,0.0,0.0,0.0,0.0,26.0,10.5,0.4,$201.00
6,GOING BY TRAIN,3,10,31.0,24.5,2.5,0.0,0.0,0.0,0.0,0.0,27.0,9.5,0.4,$201.00
7,ZOUSILENCE,7,18,22.5,22.5,-2.0,0.0,0.0,0.0,0.5,0.0,21.0,15.5,0.4,$201.00
10,WINNIE'S FEELIN',2,23,15.5,16.0,2.0,0.0,0.0,0.0,2.5,0.0,20.5,16.0,0.4,$201.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
8,SUMMER FORCE,2,15,25.5,25.5,2.0,0.0,0.0,-0.5,1.5,0.0,28.5,0.0,33.1,$3.00
11,MORPETH,3,18,27.5,21.0,2.5,0.0,0.0,0.0,1.5,2.0,27.0,1.5,22.2,$4.60
7,THIRTY DEGREES,7,23,26.0,26.0,1.0,0.0,-1.0,0.0,0.0,0.0,26.0,2.5,16.5,$6.00
10,MAY THE FORCE,2,32,26.0,26.0,0.0,-1.5,0.0,0.0,1.0,0.0,25.5,3.0,13.2,$7.50
3,LOPE DE LUNA,2,15,18.0,18.0,2.0,0.0,0.0,0.0,1.5,0.0,21.5,7.0,1.6,$61.00
1,TASMAN DEEL,FU,0,,18.0,0.0,0.0,0.0,0.0,2.5,0.0,20.5,8.0,1.0,$101.00
6,TIGRIOS,FU,0,,18.0,0.0,0.0,0.0,0.0,2.5,0.0,20.5,8.0,1.0,$101.00
2,FOOLISH NOTION,2,32,30.5,16.0,0.0,-1.5,0.0,0.0,1.0,0.0,15.5,13.0,0.3,$301.00
4,GRIKO,3,18,8.5,10.0,2.0,0.0,0.0,0.0,1.0,0.0,13.0,15.5,0.3,$301.00
5,MALAY PENINSULA,2,18,17.0,17.5,2.0,0.0,0.0,0.0,0.0,0.0,19.5,9.0,0.3,$301.00
12,MUSIC MAESTRO,2,18,21.5,10.0,4.0,0.0,0.0,0.0,1.0,2.0,17.0,11.5,0.3,$301.00
9,IRISH ACCOLADE,10,1,31.5,26.0,2.5,0.0,-3.0,0.0,0.0,0.0,25.5,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
2,HEATHCLIFF,4,18,32.5,32.5,-2.0,0.0,0.0,0.0,2.5,0.0,33.0,0.0,17.9,$5.50
4,STREET FORCE,2,18,33.0,28.0,2.5,0.0,0.0,0.0,2.5,0.0,33.0,0.0,17.9,$5.50
7,TIME TO COMMIT,4,18,31.5,32.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,17.9,$5.50
3,SUPREME STATEMENT,3,19,34.5,28.5,2.5,0.0,-0.5,0.0,1.0,0.0,31.5,1.5,12.0,$8.50
1,SCULPTOR,3,18,32.5,25.5,3.0,0.0,0.0,0.0,0.5,2.0,31.0,2.0,10.2,$10.00
5,FAMAHAN,3,26,31.5,30.5,1.5,0.0,-0.5,0.0,-0.5,0.0,31.0,2.0,10.2,$10.00
6,SUNDAY PUNCH,2,23,33.0,26.5,2.5,0.0,-0.5,0.0,-0.5,0.0,28.0,5.0,2.5,$41.00
8,KRYSTINA KERIMA,8,43,28.5,28.5,0.0,-1.5,-1.0,0.0,1.0,0.0,27.0,6.0,1.4,$71.00
9,SASHABELLA,5,18,22.5,22.5,1.0,0.0,-1.0,0.0,1.0,0.0,23.5,9.5,0.2,$501.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
2,YEAH BUDDY,2,15,31.0,26.0,2.5,0.0,0.0,0.0,1.5,0.0,30.0,0.0,25.4,$3.90
5,MR HUGO,2,15,25.0,25.0,2.0,0.0,0.0,0.0,2.5,0.0,29.5,0.5,22.8,$4.40
3,DEVIL DANCER,3,20,24.0,24.0,2.0,0.0,0.0,0.0,2.5,0.0,28.5,1.5,17.0,$6.00
6,NAPOLEON STAR,FU,0,,25.0,0.0,0.0,0.0,0.0,1.5,0.0,26.5,3.5,8.4,$12.00
7,PUNXSUTAWNEY PHIL,FU,0,,25.0,0.0,0.0,0.0,0.0,1.5,0.0,26.5,3.5,8.4,$12.00
10,SWIFT BANTER,FU,0,,25.0,0.0,0.0,0.0,0.0,0.5,0.0,25.5,4.5,5.1,$20.00
9,SOLANKE,FU,0,,25.0,0.0,0.0,0.0,0.0,-0.5,0.0,24.5,5.5,2.8,$31.00
11,WARSHADE,FU,123,20.0,20.0,0.0,-6.0,0.0,0.0,-0.5,0.0,13.5,16.5,0.3,$401.00
1,ROBARDS,2,15,23.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,scr,scr,scr
4,LUCAND MAGIC,2,2,36.0,36.0,2.0,0.0,0.0,0.0,1.0,0.0,39.0,scr,scr,scr
8,RAGUEL,3,18,27.5,23.5,2.0,0.0,0.0,0.0,2.5,0.0,28.0,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
5,MAGIC MERLIN,6,15,34.5,34.5,1.0,0.0,0.5,0.0,1.5,0.0,37.5,0.0,29.8,$3.40
3,FAN HARDER,6,17,32.5,31.0,3.5,0.0,0.0,0.0,2.5,0.0,37.0,0.5,26.8,$3.70
1,KING JERRY,3,17,31.5,30.5,1.5,0.0,0.5,0.0,-0.5,4.0,36.0,1.5,20.0,$5.00
8,TO BE FRANK,11,26,31.5,31.5,1.0,0.0,-0.5,0.0,2.5,0.0,34.5,3.0,11.9,$8.50
2,REBEL'S EDGE,4,9,30.0,30.0,-3.0,0.0,-0.5,0.0,1.0,2.0,29.5,8.0,0.9,$101.00
6,SUPER SUGOI,3,31,33.5,27.5,0.0,-1.5,0.0,0.0,-0.5,0.0,25.5,12.0,0.3,$301.00
7,BIG SHORT,3,26,31.5,25.0,2.5,0.0,-0.5,0.0,0.5,0.0,27.5,10.0,0.3,$301.00
4,BELLEVUE,7,1,35.0,30.0,-2.0,0.0,0.0,0.0,0.0,0.0,28.0,scr,scr,scr
9,ZAHDI,7,15,30.5,28.0,3.5,0.0,-0.5,0.0,-0.5,0.0,30.5,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
17,STREET LYRIC,2,26,24.5,24.5,1.5,0.0,0.0,0.0,2.5,0.0,28.5,0.0,20.9,$4.80
15,COSMIC JINKS,FU,142,31.5,31.5,0.0,-6.0,0.0,0.0,2.5,0.0,28.0,0.5,18.8,$5.50
14,ALPHABET,5,43,31.5,28.5,0.0,-1.5,0.0,0.0,0.0,0.0,27.0,1.5,14.0,$7.00
16,DORSET LASS,2,15,23.5,23.5,2.0,0.0,0.0,0.0,1.5,0.0,27.0,1.5,14.0,$7.00
3,PARTY REBEL,FU,0,,22.5,0.0,0.0,0.0,0.0,2.5,0.0,25.0,3.5,6.9,$15.00
11,SHEZA'S SHOW,FU,0,,22.5,0.0,0.0,0.0,0.0,2.5,0.0,25.0,3.5,6.9,$15.00
7,LILIYA,FU,0,,22.5,0.0,0.0,0.0,0.0,1.5,0.0,24.0,4.5,4.2,$26.00
12,SPEED ENCORE,FU,123,30.5,30.5,0.0,-6.0,0.0,0.0,-0.5,0.0,24.0,4.5,4.2,$26.00
18,SUVATHI,2,18,13.5,13.5,1.5,0.0,0.0,0.0,1.5,0.0,16.5,12.0,0.2,$501.00
1,HOT AMOUR,FU,0,,22.5,0.0,0.0,0.0,-0.5,0.0,0.0,22.0,scr,scr,scr
2,MY DIAMOND LOVE,FU,0,,22.5,0.0,0.0,0.0,0.0,1.0,0.0,23.5,scr,scr,scr
4,REGNIER,FU,0,,22.5,0.0,0.0,0.0,0.0,1.5,2.0,26.0,scr,scr,scr
5,AKATOA,FU,0,,22.5,0.0,0.0,0.0,0.0,1.0,0.0,23.5,scr,scr,scr
6,HARD NOT TOO LIKE,2,2,17.0,17.0,2.0,0.0,0.0,0.0,1.0,0.0,20.0,scr,scr,scr
8,PIOLLA,FU,0,,22.5,0.0,0.0,0.0,-0.5,1.5,0.0,23.5,scr,scr,scr
9,REBEL TIGRESS,FU,0,,22.5,0.0,0.0,0.0,0.0,0.0,0.0,22.5,scr,scr,scr
10,SHANTI,FU,0,,22.5,0.0,0.0,0.0,0.0,-0.5,0.0,22.0,scr,scr,scr
13,POINTY END,2,19,22.0,22.5,2.0,0.0,0.0,0.0,-0.5,0.0,24.0,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
5,HERMAN SAID,3,19,38.5,35.0,2.0,0.0,-0.5,0.0,2.5,0.0,39.0,0.0,42.6,$2.35
9,MYALABY,2,15,35.5,33.0,1.5,0.0,-0.5,0.0,1.0,2.0,37.0,2.0,24.3,$4.20
4,BEAUMISTA,4,15,37.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,34.0,5.0,6.0,$17.00
11,SMART BUY,9,18,36.5,29.5,3.5,0.0,-0.5,0.0,1.5,0.0,34.0,5.0,6.0,$17.00
12,ALL TOO SNEAKY,4,15,30.0,30.0,1.0,0.0,-0.5,0.0,1.5,2.0,34.0,5.0,6.0,$17.00
7,NOR NOR WEST,4,18,34.5,29.5,1.0,0.0,0.0,0.0,1.5,0.0,32.0,7.0,2.1,$51.00
3,VIA FLAMINIA,FU,131,37.0,37.0,0.0,-6.0,0.0,0.0,0.5,0.0,31.5,7.5,1.7,$61.00
2,ROCKIN' MILLIE,2,54,30.0,30.0,0.0,-3.0,0.0,0.0,0.5,2.0,29.5,9.5,0.4,$201.00
6,SIPPING SHAMUS,FU,170,32.5,32.5,0.0,-6.0,1.0,0.0,1.0,0.0,28.5,10.5,0.4,$201.00
10,YACHT GIRL,FU,91,31.0,31.0,0.0,-6.0,-1.0,0.0,0.0,0.0,24.0,15.0,0.4,$201.00
1,KING POTTER,FU,182,30.5,30.5,0.0,-6.0,0.0,0.0,-0.5,0.0,24.0,scr,scr,scr
8,KAKODA,6,10,35.0,28.5,3.5,0.0,0.5,-0.5,2.5,0.0,34.5,scr,scr,scr
13,CASSIE'S LAD,FU,260,33.5,33.5,0.0,-6.0,-0.5,0.0,0.0,0.0,27.0,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,NEVERMISTA,5,15,28.0,28.0,0.5,0.0,-1.0,0.0,1.0,2.0,30.5,0.0,21.0,$4.80
7,HANEY,4,7,25.5,25.5,0.5,0.0,0.0,0.0,-0.5,4.0,29.5,1.0,16.8,$6.00
15,RING MY BELL,6,23,32.0,25.5,2.5,0.0,0.0,0.0,1.5,0.0,29.5,1.0,16.8,$6.00
4,PANTA RHEI,4,15,29.0,27.5,0.5,0.0,0.0,-0.5,1.5,0.0,29.0,1.5,14.1,$7.00
8,SIMPLY BETTER,4,32,28.0,28.0,0.0,-1.5,0.0,0.0,2.5,0.0,29.0,1.5,14.1,$7.00
12,LA PELAGO,FU,115,29.0,29.0,0.0,-6.0,0.0,0.0,1.5,2.0,26.5,4.0,5.2,$19.00
3,COSMOLICIOUS,FU,82,30.0,30.0,0.0,-6.0,0.5,0.0,-0.5,0.0,24.0,6.5,1.3,$81.00
2,CASSIERE,FU,384,,22.0,0.0,-6.0,0.0,0.0,2.5,0.0,18.5,12.0,0.2,$501.00
6,DESIROUS,FU,163,28.0,28.0,0.0,-6.0,0.0,0.0,-0.5,0.0,21.5,9.0,0.2,$501.00
10,CRAIG'S ONE,2,18,27.5,10.0,4.0,0.0,0.0,0.0,0.0,2.0,16.0,14.5,0.2,$501.00
14,SIR FREDDIE,4,7,18.0,18.0,1.0,0.0,0.0,0.0,1.5,0.0,20.5,10.0,0.2,$501.00
5,AMAJICSTAR,2,19,26.5,27.0,2.0,0.0,0.0,-0.5,-0.5,3.0,31.0,scr,scr,scr
9,WATCH CAPITAL,3,18,22.5,22.5,1.5,0.0,0.0,-0.5,1.0,0.0,24.5,scr,scr,scr
11,BETHSHEBA,3,43,29.5,25.0,0.0,-1.5,0.0,-0.5,0.0,0.0,23.0,scr,scr,scr
13,CITY GOLD SPEED,10,1,32.0,28.5,-2.0,0.0,-1.0,0.0,0.0,0.0,25.5,scr,scr,scr
16,POSH ANNIE,8,31,28.5,21.5,0.0,-1.5,-1.0,0.0,0.0,0.0,19.0,scr,scr,scr

