Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
3,KING KAUFFO,4,9,28.5,26.0,1.0,0.0,-0.5,0.0,0.0,0.0,26.5,0.0,30.1,$3.30
2,GOOD LORDY ME,3,19,30.5,20.5,3.5,0.0,-0.5,0.0,-0.5,3.0,26.0,0.5,27.1,$3.70
8,STELLETTA,6,7,34.5,24.0,2.5,0.0,-1.0,0.0,-1.0,0.0,24.5,2.0,17.2,$6.00
4,MARANOA BOY,5,11,24.0,24.0,0.5,0.0,0.0,0.0,-0.5,0.0,24.0,2.5,15.1,$6.50
5,EXCELLENT REWARD,9,15,21.0,17.0,0.5,0.0,-1.0,0.0,-0.5,0.0,16.0,10.5,0.3,$301.00
6,FULL POTENTIAL,2,15,,10.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,14.5,0.3,$301.00
1,DON'T DOUBT TIGGA,4,16,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,scr,scr,scr
7,SHEZOUS,4,32,22.5,23.0,0.0,-1.5,0.0,0.0,-0.5,0.0,21.0,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
5,IVE GOT THE POWER,10,9,23.5,22.0,1.0,0.0,-1.0,0.0,2.5,0.0,24.5,0.0,21.5,$4.60
8,SUPREME LASS,5,14,21.5,21.5,0.5,0.0,0.0,0.0,-0.5,2.0,23.5,1.0,17.2,$6.00
10,VICTRIX SWAN,3,15,21.5,21.5,1.5,0.0,0.0,0.0,0.5,0.0,23.5,1.0,17.2,$6.00
6,PAINTED WINGS,5,15,23.0,23.0,1.0,0.0,0.0,0.0,-1.0,0.0,23.0,1.5,14.4,$7.00
9,VERY FAMOUS,4,15,34.0,23.0,-2.0,0.0,0.0,0.0,1.0,0.0,22.0,2.5,10.8,$9.00
7,PRINCESS ZOUSAIN,3,14,17.0,17.0,2.0,0.0,0.0,0.0,1.0,1.5,21.5,3.0,8.6,$12.00
3,TITAN'S SOUL,FU,121,17.5,17.5,0.0,-6.0,0.0,0.0,0.0,0.0,11.5,13.0,0.2,$501.00
1,HOLD THIS,4,1,30.0,24.0,3.5,0.0,-0.5,0.0,-1.0,0.0,26.0,scr,scr,scr
2,MARRON,3,18,29.5,29.5,2.0,0.0,0.0,0.0,1.5,0.0,33.0,scr,scr,scr
4,CAMEGITCHEE,4,16,24.0,19.0,3.5,0.0,0.0,0.0,0.0,0.0,22.5,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
12,LUMINARY MISS,2,15,24.0,24.0,1.5,0.0,0.0,0.0,0.0,0.0,25.5,0.0,30.0,$3.30
7,MOJO JUNIOR,2,14,19.0,19.0,2.0,0.0,0.0,0.0,0.0,2.0,23.0,2.5,15.0,$6.50
