Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,VELVET SKIES,3,22,32.5,26.5,2.5,0.0,-1.0,0.0,0.0,1.5,29.5,0.0,37.5,$2.70
5,RENEWABLE DREAM,3,13,34.0,24.0,3.5,0.0,0.0,0.0,-0.5,1.5,28.5,1.0,30.0,$3.30
9,OUR NICOLA,2,13,24.5,24.5,1.5,0.0,0.0,0.0,-1.0,0.0,25.0,4.5,7.5,$13.00
2,R P MCMURPHY,3,33,35.5,23.5,0.0,-1.5,0.0,0.0,-0.5,3.0,24.5,5.0,5.3,$19.00
6,NUTCRACKER,4,50,32.0,24.0,0.0,-3.0,0.0,0.0,0.5,2.5,24.0,5.5,4.1,$26.00
3,FEDERAL ENVOY,5,16,30.0,23.5,-2.0,0.0,-1.0,0.0,0.0,2.5,23.0,6.5,2.3,$41.00
4,COURT OF SESSION,2,14,27.5,19.5,3.0,0.0,0.0,0.0,-0.5,0.0,22.0,7.5,1.5,$71.00
7,MYTHICAL ISLE,11,33,30.0,22.5,0.0,-1.5,-0.5,0.0,1.5,0.0,22.0,7.5,1.5,$71.00
8,MINTANA,13,56,27.0,24.5,0.0,-3.0,-1.0,0.0,-0.5,0.0,20.0,9.5,0.4,$301.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
5,JESSICA,3,11,22.5,22.5,2.0,0.0,0.0,0.0,2.5,0.0,27.0,0.0,78.3,$1.28
4,IRIS OLIVIA,2,55,20.5,21.0,0.0,-3.0,0.0,0.0,2.5,0.0,20.5,6.5,4.7,$21.00
10,SPEED NATION,3,20,15.5,15.5,2.0,0.0,0.0,0.0,1.5,0.0,19.0,8.0,2.4,$41.00
1,APPASSIONATA,2,12,0.0,10.0,2.0,0.0,0.0,0.0,1.5,0.0,13.5,13.5,0.8,$101.00
2,CASABLANCA DREAM,3,10,10.5,10.5,2.0,0.0,0.0,0.0,1.0,1.5,15.0,12.0,0.8,$101.00
3,COWGIRL,FU,0,0.0,14.0,0.0,0.0,0.0,0.0,1.5,0.0,15.5,11.5,0.8,$101.00
6,MODA ROSA,3,27,14.5,14.5,2.0,0.0,0.0,0.0,0.5,0.0,17.0,10.0,0.8,$101.00
7,NIGHTSPELL,3,14,10.5,10.5,2.0,0.0,0.0,0.0,0.5,0.0,13.0,14.0,0.8,$101.00
8,PHALANX NATION,FU,97,20.5,20.5,0.0,-6.0,0.0,0.0,2.5,0.0,17.0,10.0,0.8,$101.00
9,PORT ELEONORA,FU,0,0.0,14.0,0.0,0.0,0.0,0.0,0.5,0.0,14.5,scr,scr,scr

